Unnamed: 0,Unnamed: 1,Indicadores,Programa (MWh),Programa (MWh).1,Programa (MWh).2,Programa (MWh).3,Programa (MWh).4,Programa (MWh).5,Programa (MWh).6,Programa (MWh).7,Programa (MWh).8,Programa (MWh).9,Programa (MWh).10,Programa (MWh).11,Programa (MWh).12,Programa (MWh).13,Programa (MWh).14,Programa (MWh).15,Programa (MWh).16,Programa (MWh).17,Programa (MWh).18,Programa (MWh).19,Programa (MWh).20,Programa (MWh).21,Programa (MWh).22,Programa (MWh).23,Programa (MWh).24,Programa (MWh).25,Programa (MWh).26,Programa (MWh).27,Programa (MWh).28,Programa (MWh).29,Programa (MWh).30,Programa (MWh).31,Programa (MWh).32,Programa (MWh).33,Programa (MWh).34,Programa (MWh).35,Programa (MWh).36,Programa (MWh).37,Programa (MWh).38,Programa (MWh).39,Programa (MWh).40,Programa (MWh).41,Programa (MWh).42,Programa (MWh).43,Programa (MWh).44,Programa (MWh).45,Programa (MWh).46,Programa (MWh).47,Programa (MWh).48,Programa (MWh).49,Programa (MWh).50,Programa (MWh).51,Programa (MWh).52,Programa (MWh).53,Programa (MWh).54,Programa (MWh).55,Programa (MWh).56,Programa (MWh).57,Programa (MWh).58,Programa (MWh).59,Programa (MWh).60,Programa (MWh).61,Programa (MWh).62,Programa (MWh).63,Programa (MWh).64,Programa (MWh).65,Programa (MWh).66,Programa (MWh).67,Programa (MWh).68,Programa (MWh).69,Programa (MWh).70,Programa (MWh).71,Programa (MWh).72,Programa (MWh).73,Programa (MWh).74,Programa (MWh).75,Programa (MWh).76,Programa (MWh).77,Programa (MWh).78,Programa (MWh).79,Programa (MWh).80,Programa (MWh).81,Programa (MWh).82,Programa (MWh).83,Programa (MWh).84,Programa (MWh).85,Programa (MWh).86,Programa (MWh).87,Programa (MWh).88,Programa (MWh).89,Programa (MWh).90,Programa (MWh).91,Programa (MWh).92,Programa (MWh).93,Programa (MWh).94,Programa (MWh).95,Programa (MWh).96
,,Dia,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026,11-junio-2026
,,Programa,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP,PDVP
Unidad de Programación,Tipo Oferta,Cuarto de Hora del dia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
A2GAME2,10,,"45,600","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475","0,475"
ABA1,1,,"1,500","0,025","0,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,025",,"0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025",,,"0,025","0,025","0,025","0,025","0,025",,,"0,025",,,,"0,025","0,025","0,025","0,025",
ABA2,1,,"2,400","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025","0,025"
ABO2G,1,,"6140,000","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","75,000","75,000","75,000","75,000","87,500","87,500","87,500","87,500","87,500","87,500","87,500","87,500","87,500","87,500","87,500","87,500","87,500","87,500","87,500","87,500","75,000","75,000","75,000","75,000","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500","57,500"
ABOUC01,8,,"-60,150","-0,500","-0,525","-0,500","-0,500","-0,500","-0,500","-0,475","-0,475","-0,500","-0,475","-0,475","-0,450","-0,450","-0,450","-0,425","-0,425","-0,425","-0,425","-0,450","-0,450","-0,450","-0,450","-0,450","-0,475","-0,525","-0,525","-0,525","-0,500","-0,525","-0,550","-0,550","-0,575","-0,675","-0,675","-0,675","-0,700","-0,750","-0,750","-0,750","-0,750","-0,775","-0,800","-0,800","-0,800","-0,800","-0,800","-0,800","-0,825","-0,825","-0,800","-0,800","-0,825","-0,825","-0,825","-0,800","-0,800","-0,750","-0,725","-0,700","-0,700","-0,700","-0,700","-0,700","-0,725","-0,725","-0,725","-0,700","-0,700","-0,700","-0,725","-0,725","-0,725","-0,700","-0,700","-0,700","-0,700","-0,675","-0,650","-0,650","-0,675","-0,650","-0,650","-0,650","-0,625","-0,600","-0,600","-0,575","-0,575","-0,550","-0,550","-0,550","-0,550","-0,525","-0,525","-0,500","-0,500"
ABOX,11,,"-48,000","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500","-0,500"
ACAPC01,7,,"-9,850","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,100","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,100","-0,125","-0,125","-0,150","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,150","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,125","-0,100","-0,100","-0,100","-0,100","-0,100","-0,100","-0,100","-0,100","-0,100","-0,100","-0,100","-0,100","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075","-0,075"
