subject_code,legal_entity
JOIN,1
VIEPR,18X000000000CICG
ATAL,18XATAL-12345-1E
BURGE,18XBURGE-1234--I
MIRAS,18XMIRAS-12345-9
PECKE,18XPAPELECKERSAC
PEUSA,18XPEUSA-12345-4
TIRCA,18XTIRCA-12345-N
CACI,2026 CACI ENERGIA
SOLIM,"3 SOLIMA, SL"
DSMAR,3D SMART ENERGY SL
AJENE,"A2J ENERGIA, S.L."
ABESL,AB ENERGIA 1903
ABAST,ABASTE COMERCIALIZADORA
ABOGE,"ABOÑO GENERACIONES ELECTRICAS, S.L.U."
ABOUT,ABOUT WHITE SL
ACAPE,ACAPERSA 1997 SL
ACENH,ACENHOL ENERGIA SOCIEDAD LIMITADA
ACENO,ACENORCA
ACOST,ACOS T IBERICA SL
ACSOL,ACSOL ENERGIA GLOBAL
ACTIV,ACTIVA ENERGIA
ADEIN,ADEINNOVA ENERGIA S.L
ADELF,ADELFAS ENERGIA SL
ADSEN,ADS ENERGIA
