up_code,up_name_omie,legal_entity,ownership_pct,unit_type_omie,zone_omie,technology_omie,omie_page
ARRU1R,UOF REPRESENT,ADA DE A,RRUBAL 1,MOEVE GAS AND POW,"ER, S.A",. U  100 GENERACION ZONA ESPAÑOLA Ciclo Combinado ,19
ARRU2R,UOF REPRESENT,ADA DE A,RRUBAL 2,MOEVE GAS AND POW,"ER, S.A",. U  100 GENERACION ZONA ESPAÑOLA Ciclo Combinado ,19
ASC1,C.N. ASCÓ 1,,,ENDESA GENERACIÓN,", S.A.",   100 GENERACION ZONA ESPAÑOLA Nuclear ,19
ASC2,C.N. ASCÓ 2,,,IBERDROLA ENERGÍA,ESPAÑ,A S..A.  15 GENERACION ZONA ESPAÑOLA Nuclear ,19
ASIAGU,HYDRO CUENCA,AGÚERA,,ASISTENCIA ENERGÉT,ICA S.,L.   100 GENERACION ZONA ESPAÑOLA Hidráulica Generac ión,19
ASIDUE,HYDRO CUENCA,DUERO,,ASISTENCIA ENERGÉT,ICA S.,L.   100 GENERACION ZONA ESPAÑOLA Hidráulica Generac ión,19
ASIEBRO,HYDRO CUENCA,DUERO,,ASISTENCIA ENERGÉT,ICA S.,L.   100 GENERACION ZONA ESPAÑOLA Hidráulica Generac ión,19
ASIEBR2,HYDRO CUENCA,EBRO,,ASISTENCIA ENERGÉT,ICA S.,L.   100 GENERACION ZONA ESPAÑOLA Hidráulica Generac ión,19
ASIJUCA,HYDRO CUENCA,JUCAR,,ASISTENCIA ENERGÉT,ICA S.,L.   100 GENERACION ZONA ESPAÑOLA Hidráulica Generac ión,19
ASITAJ,HYDRO CUENCA,TAJO,,ASISTENCIA ENERGÉT,ICA S.,L.   100 GENERACION ZONA ESPAÑOLA Hidráulica Generac ión,19
ASIVD01,VENTA TARIFA R,EPRESENT,ANTE,ASISTENCIA ENERGÉT,ICA S.,L.   100 GENERACION ZONA ESPAÑOLA RE Mercado Hidrá ulica,19
ASIVD02,HIDRAUL REG ES,P POT>5,,ASISTENCIA ENERGÉT,ICA S.,L.   100 GENERACION ZONA ESPAÑOLA RE Mercado Hidrá ulica,19
ASIVD03,FOTOV REG ESP,P<10,,ASISTENCIA ENERGÉT,ICA S.,L.   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fotovoltáica,19
ASIVD06,SOLAR FV MAYO,R O IGUAL,5 MW,ASISTENCIA ENERGÉT,ICA S.,L.   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fotovoltáica,19
ASRIHCV,UO VENTA BATER,IA SOTO R,IBERA,"EDP ESPAÑA, S.A.U. (",GENER,AC IÓN)  100 GENERACION ZONA ESPAÑOLA Almacenamiento V enta,19
ATERE01,ATENC REPR 01,,,ATENCO ENERGIA,,   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fotovoltáica,19
ATERE02,ATENC REPR 02,,,ATENCO ENERGIA,,   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fotovoltáica,19
ATERE03,ATENC REPR 03,,,ATENCO ENERGIA,,   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fotovoltáica,19
ATLRE01,ATLRE01,,,ATLAS ENERGIA COM,ERCIAL,S L  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fotovoltáica,19
ATLRE02,ATLRE02,,,ATLAS ENERGIA COM,ERCIAL,S L  100 GENERACION ZONA ESPAÑOLA RE Mercado Térmi ca no,19
AXPOV02,UNIDAD VENTA A,GREGADO,R,AXPO ENERGIA PORT,UGAL,   100 GENERACION ZONA PORTUGUESA RE Tarifa CUR (uo f),19
BAHIAB,C.C. BAHÍA DE BI,ZKAIA,,BAHIA DE BIZKAIA ELE,CTRICI,D AD S.L.  100 GENERACION ZONA ESPAÑOLA Ciclo Combinado ,19
BECVD01,BEC VENDA LLAN,ARS,,BASSOLS ENERGÍA C,OMERC,"IA L, S.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Hidrá ulica",19
BECVD02,BEC VENDA CAR,LOT I MOLI,NOU,BASSOLS ENERGÍA C,OMERC,"IA L, S.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Hidrá ulica",19
BECVD03,BASSOLS ENERG,ÍA COMPR,A (ESP),BASSOLS ENERGÍA C,OMERC,"IA L, S.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fotovoltáica",19
BECVD04,BEC VENDA SOL,AR ORION,,BASSOLS ENERGÍA C,OMERC,"IA L, S.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fotovoltáica",19
BERR1,BERROCALILLO 1,,,WIND TO MARKET (AC,T.: COM,E RCIALIZAC IÓN RE) 100 GENERACION ZONA ESPAÑOLA Hidráulica Generac ión,19
BERR2,BERROCALILLO 2,,,WIND TO MARKET (AC,T.: COM,E RCIALIZAC IÓN RE) 100 GENERACION ZONA ESPAÑOLA Hidráulica Generac ión,19
BES3,C.C. BESÓS 3,,,ENDESA GENERACIÓN,", S.A.",   100 GENERACION ZONA ESPAÑOLA Ciclo Combinado ,19
BES4,C.C. BESÓS 4,,,GAS NATURAL COMER,CIALIZ,A DORA  100 GENERACION ZONA ESPAÑOLA Ciclo Combinado ,19
BES5,C.C. BESÓS 5,,,ENDESA GENERACIÓN,", S.A.",   100 GENERACION ZONA ESPAÑOLA Ciclo Combinado ,19
BNPRE01,BONPREU REPRE,SENTACIO,N,"BON PREU, S.A.U.",,   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fotovoltáica,19
BOLI,BOLINCHES,,,WIND TO MARKET (AC,T.: COM,E RCIALIZAC IÓN RE) 100 GENERACION ZONA ESPAÑOLA Hidráulica Generac ión,19
BPRE03,BPREF01,,,BP GAS AND POWER I,"BERIA,",S. A.U.  100 GENERACION ZONA ESPAÑOLA RE Mercado Térmi ca no,19
BPRE04,BPREF02,,,BP GAS AND POWER I,"BERIA,",S. A.U.  100 GENERACION ZONA ESPAÑOLA RE Mercado Térmi ca no,19
BRR1R1,CT LOS BARRIOS,REPR,,"EDP ESPAÑA, S.A.U. (",GENER,AC IÓN)  100 GENERACION ZONA ESPAÑOLA Carbón de Importa ción,19
BSGRE01,VENTA FV,,,BSG ENERGIA SL,,   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fotovoltáica,19
BTNR,BTNR,,,REPSOL GENERACIÓN,ELÉCT,"R ICA, S.A  100 GENERACION ZONA ESPAÑOLA Hidráulica Generac ión",19
CAMGI10,C.C. CAMPO DE G,IBRALTAR,10,GAS NATURAL COMER,CIALIZ,A DORA  100 GENERACION ZONA ESPAÑOLA Ciclo Combinado ,19
CAMG20R,CC. CAMPO DE G,IBRALTAR,20,SERVICIOS ENERGETI,COS D,"E ALTA EFICI ENCIA, S.A 100 GENERACION ZONA ESPAÑOLA Ciclo Combinado ",19
CEDRE01,CEDSL REPR01,,,COMERCIALIZADORA,DE ENE,R GIA DIREC TA S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fotovoltáica,19
CEGPM4,PREC. MERC. SIN,PRIMA HI,DRAU,ENERGYA VM GENERA,CIÓN (,A CT. COMER . RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidrá ulica,19
CENRE01,CENTELLES GEN,SOLAR 01,,ELECTRACOMERCIAL,CENTE,LL ES  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fotovoltáica,19
CENRE02,LA GAVARRA,,,ELECTRACOMERCIAL,CENTE,LL ES  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fotovoltáica,19
CESOVD1,VENTA EXCEDEN,TES,,COMERCIALIZADORA,ENERG,"E TICA SOSTE NIBLE, S.A. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fotovoltáica",19
CEVD001,TARIFA TÉRMICA,<10,,ENERGYA VM GENERA,CIÓN (,A CT. COMER . RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmi ca no,19
CEVD002,TARIFA RESIDUO,S <10,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,20
CEVD003,TARIFA FOTOVO,LTAICA <10,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,20
CEVD004,TARIFA HIDRÁUL,ICA <10,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,20
CEVD011,ARTABRA - TARIF,A TÉRMICA,>10,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,20
CEVD020,UTISA - TARIFA T,ÉRMICA >10,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,20
CEVD025,HUNOSA - TARIF,A TÉRMICA,>10,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,20
CEVD028,MARE - TARIFA T,ÉRMICA >10,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,20
CEVD038,CANAL NAVARRA,-TARIFA HID,RA >10,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,20
CEVD044,BUTARQUE - TAR,IFA TÉRMIC,A >10,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,20
CEVD046,TOLSA - TARIFA T,ÉRMICA >1,0,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,20
CEVD051,BIOCAN - TARIFA,RESIDUOS,>10,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,20
CEVD054,PECOTER - TARIF,A EÓLICA >,10,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,20
CEVD057,MOYGIRA - TARIF,A TÉRMICA,>10,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,20
CEVD075,ALC. LA PUEBLA,,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,20
CEVD076,HNE - NO GESTIO,NABLE,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,20
CEVD204,RESID. COMARC,A PAMPLON,A B71,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,20
CEVD205,TERMICA BUNGE,,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,20
CEVD209,STO. CRISTO DE,MAGALLON,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,20
CEVD234,CEVD234,,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,20
CEVD235,CEVD235,,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,20
CEVD244,FV. RENOV. RTS1,>1MW,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,20
CEVD249,FV +1MW,,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,20
CEVD255,GALESA,,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,20
CEVD256,GECASA - AÑARB,E,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,20
CEVD264,CEVD264 - MOINS,A,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,20
CEVD269,PIEROL,,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,20
CEVD276,SALIN AÑANA,,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,20
CEVD278,RELECO,,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,20
CEVD279,AUSINES,,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,20
CEVD280,ARTESA,,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,20
CEVD281,EOL. CAPARROS,O,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,20
CEVD282,EOL. CABANILLA,S,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,20
CEVD283,LDV CASARES,,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,20
CEVD284,EOL. EBRO,,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,20
CEVD287,EOL. BANDERA,,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,20
CEVD288,CEVD288,,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,20
CEVD289,EOLICA EVM ZR,,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,20
CEVD290,ALCOHOLERA LA,PUEBLA,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,20
CEVD293,ECOPARC,,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,20
CEVD294,INUSA RESIDUOS,,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,20
CEVD296,URBASER,,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,20
CEVD300,NOSTIAN: BABCO,K+TECMED,,ENERGYA,VM,GENERACIÓN (ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,20
