Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Dia,17-06-2026,17-06-2026.1,17-06-2026.2,17-06-2026.3,17-06-2026.4,17-06-2026.5,17-06-2026.6,17-06-2026.7,17-06-2026.8,17-06-2026.9,17-06-2026.10,17-06-2026.11,17-06-2026.12,17-06-2026.13,17-06-2026.14,17-06-2026.15,17-06-2026.16,17-06-2026.17,17-06-2026.18,17-06-2026.19,17-06-2026.20,17-06-2026.21,17-06-2026.22,17-06-2026.23,17-06-2026.24,17-06-2026.25,17-06-2026.26,17-06-2026.27,17-06-2026.28,17-06-2026.29,17-06-2026.30,17-06-2026.31,17-06-2026.32,17-06-2026.33,17-06-2026.34,17-06-2026.35,17-06-2026.36,17-06-2026.37,17-06-2026.38,17-06-2026.39,17-06-2026.40,17-06-2026.41,17-06-2026.42,17-06-2026.43,17-06-2026.44,17-06-2026.45,17-06-2026.46,17-06-2026.47,17-06-2026.48,17-06-2026.49,17-06-2026.50,17-06-2026.51,17-06-2026.52,17-06-2026.53,17-06-2026.54,17-06-2026.55,17-06-2026.56,17-06-2026.57,17-06-2026.58,17-06-2026.59,17-06-2026.60,17-06-2026.61,17-06-2026.62,17-06-2026.63,17-06-2026.64,17-06-2026.65,17-06-2026.66,17-06-2026.67,17-06-2026.68,17-06-2026.69,17-06-2026.70,17-06-2026.71,17-06-2026.72,17-06-2026.73,17-06-2026.74,17-06-2026.75,17-06-2026.76,17-06-2026.77,17-06-2026.78,17-06-2026.79,17-06-2026.80,17-06-2026.81,17-06-2026.82,17-06-2026.83,17-06-2026.84,17-06-2026.85,17-06-2026.86,17-06-2026.87,17-06-2026.88,17-06-2026.89,17-06-2026.90,17-06-2026.91,17-06-2026.92,17-06-2026.93,17-06-2026.94,17-06-2026.95
,,,,Cuarto de Hora del dia,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
Sentido,Unidad de Programación,Bloque,Tipo Oferta,Indicadores,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW
Compra,A2GAME2,Blq. 1,10,,"-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6","-1,6"
Compra,ABA1,Blq. 1,1,,"-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1"
Compra,ABA2,Blq. 1,1,,"-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1"
Compra,ACE3,Blq. 1,1,,"-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0"
Compra,ACE4,Blq. 1,1,,"-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6"
Compra,AEIDGEN,Blq. 1,10,,"-0,4","-0,4","-0,4","-0,3","-0,3","-0,2","-0,2","-0,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","-0,1","-0,1","-0,2","-0,2","-0,2","-0,2","-0,2","-0,3","-0,3","-0,3","-0,3","-0,3","-0,3","-0,3","-0,4","-0,4","-0,4","-0,4","-0,6","-0,6","-0,6","-0,2","-0,6","-0,6","-0,6","-0,4","-0,6","-0,5","-0,4","-0,6","-0,3","-0,3","-0,3","-0,3","-0,2","-0,2","-0,3","-0,3","-1,6","-1,5","-1,4","-1,2","-0,7","-0,6","-0,6","-0,5","-0,2","-0,2","-0,2","-0,1"
Compra,AFALZ4C,Blq. 1,17,,"-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8"
Compra,AFALZ5C,Blq. 1,17,,"-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8"
