codigo_de_sujeto,nombre,codigo_eic,tipo_de_sm
GALAP,GALAPAGO ENERGIA SL,18X000000000P3LS,Comercializador
GALP,GALP ENERGIA ESPANA,18XGALP-123456-N,Comercializador
GAMB,GAMBASTAR S.L,18XGAMB-123456-4,Consumidor directo mercado
GAMBI,"GAMBITOENERGY, S.L.",18X000000000P1AJ,Comercializador
GAOLA,GANA ENERGIA,18XGAOLANIASERVL,Comercializador
GME,GARCIAMUNTE ENERGIA S L,18X000000000H829,Representante
GNCO,GAS NATURAL COMERCIALIZADORA,18XGNCO-12345-3Q,Comercializador
GNSE,"GAS NATURAL SERVICIOS SDG, S.A",18XGNSE-12345-3O,Comercializador
GNSUR,"GAS NATURAL SUR SDG, S.A.",18XGNSUR-12345-A,Comercializador de Referencia
GDIVE,GASELEC DIVERSIFICACION SL,18XGDIVE-12345-E,Comercializador
SRVGS,GASHOGAR,18XSRVGS-12345-F,Comercializador
GSLZE,GASILUZ ECO ENERCIA,18X000000000H3C4,Comercializador
GAVIP,GAVIPLAS,18XGAVIPLAS-S-LX,Consumidor directo mercado
GMT,GAZPROM MARKETING & TRADING LI,11XGAZPROM-MT--Y,Comercializador
FR_GS,GDF SUEZ TRADING,17X100A100R0128W,Comercializador
GNRA,GENERA ENERGIA Y TECNOLOGIA,18XGNRA-12345-15,Productor
ANGEL,GENHIDRO S.L.,18XANGEL-12345-R,Productor
GEOLU,GEO LUZ Y GAS SLU,18X000000000P3Y2,Comercializador
GEOAL,GEOAL,18XGEOAL-12345-9,Comercializador
GAC,GEOATLANTER S.L.,18XGEOATLANTERCD,Comercializador
GESL,GERENCIA ENERGETICA,18X000000000IHZN,Comercializador
GRTEN,GERENTA ENERGIA,18X0000000004QAS,Comercializador
GESTE,GESTERNOVA S.A.,18XGESTE-12345-N,Comercializador
GESTI,"GESTINER INGENIEROS, S.L.",18XGESTI-12345-O,Consumidor directo mercado
GEMSL,GESTION DE ENERGIA Y MERCADOS,18XGEMSL-1234--H,Comercializador
GESTQ,GESTION INTEGRAL COMUNIDADES ENERGETICAS EUROPA SL,18X000000000PFY3,Comercializador
GBENE,GLOBAL BIOSFERA ENERGIA,18XGLOBALBIOSFE3,Comercializador
GSETT,"GLOBAL SOLAR ENERGY, S.A.",18XGSETT-12345-M,Productor
GOENC,GODAY ENERGIA,18XGOENC-12345-O,Comercializador
GOIEN,GOIENER S.COOP,18XGOIEN-12345-8,Comercializador
GRAFV,GRAFICAS VARIAS SA,18X000000000F7EX,Consumidor directo mercado
FORTI,GRANDES CONSUM. INDUSTR. S.L.,18XFORTI-12345-2,Comercializador
GREAL,"GREEN ENERGY 360, S.L.",18X000000000P8TY,Comercializador
GRNSR,"GREENSUNRISE ENERGY, S.L.",18X000000000P5YX,Comercializador
ENCEG,GRUPO EMPRESARIAL ENCE S.A - C,18XENCEG-1234-14,Productor
ENDG,GRUPO ENDESA GENERACION,18XENDG-12345-0G,Productor
GURBT,"GURBTEC ENERGIA, SL",18X000000000JVWK,Comercializador
GWHCO,"GWH COMERCIALIZADORA ELECTRICA, S.L.",18X000000000PI5F,Comercializador
HAFES,"HAFESA MOBILITY ELC, S.L.",18X000000000P6WY,Comercializador
HALLE,"HALLEY ENERGY, SOCIEDAD LIMITADA",18X000000000P35N,Comercializador
ESHAN,HANWHA,18X000000000GB6X,Comercializador
HAPO,HARINAS POLO,18X0000000007EE7,Consumidor directo mercado
HELIC,HELIA COOPV,18X0000000009ENI,Comercializador
HELEC,HELIOELECENERGIA ELECTRICAYGAS,18X0000000008WVQ,Comercializador
HELEI,HELIOS ENERGIA INTELIGENTE,18X000000000KJSN,Comercializador
HDE,"HIDRO NITRO ESPAÑOLA, S.A.",18XHDESG-1234-1Y,Productor
HIDSE,HIDROBESORA SERVICIOS SL,18X0000000001ZE5,Comercializador
HCENE,HIDROCANTÁBRICO ENERGÍA COMERC,18XHCENE--123-3S,Comercializador
HCCUR,HIDROCANTABRICO ULTIMO RECURSO,18XHCCUR-12345-9,Comercializador de Referencia
ALAHU,HIDROCARBUROS ALAHURÍN SL,18X000000000O2PR,Comercializador
VALI,HIDROELECTRICA DEL VALIRA SL,18XVALI-12345-3M,Comercializador
HECEN,"HIDROELÉCTRICA EL CARMEN ENERGÍA, S.L",18XHCARMENENERG1,Comercializador
LUM1,HIDROELECTRICA LUMYMEY SL,18XLUM1-123456-L,Comercializador
HIDRJ,HIDROJERTE,18XHIDRJ-12345-S,Productor
HILAD,HILADOS EGARFIL S.A.,18X0000000001SR0,Consumidor directo mercado
HISPE,HISPAELEC,18XHISPE-1234-3C,Comercializador
MELUL,HISPANO TEX,18XMELUL-12345-N,Consumidor directo mercado
CLIDM,HOLALUZ CLIDOM,18XCLIDM-12345-4,Comercializador
HORE,HORECA ENERGIA SL,18XHORECAENERGIR,Comercializador
FLECA,HORNO INDUSTRIAL DE PAN,18X0000000000FB1,Consumidor directo mercado
SILOS,HOTEL SILOS,18X0000000006PEF,Consumidor directo mercado
HOYEN,HOY ENERGIA S.L.,18X000000000LZ1P,Comercializador
HSATE,HSAT21 ENERGIA SL,18X000000000M510,Comercializador
HUNOS,HULLERAS DEL NORTE S.A.,18XHUNOSA-1234-0,Productor
HYDRO,HYDROEXERGY S.L.,18X000000000P5V2,Comercializador
IBERD,IBERDESA SUJETO DE MERCADO,18X000000000FEAK,Comercializador
IBCLI,IBERDROLA CLIENTES,18XIBCLI-12345-V,Comercializador
IBEG,IBERDROLA GENERACION,11XIBERDROLA-013,Productor
IBGES,IBERDROLA GENERACION ESPAÑA,18XIBGES-12345-4,Comercializador
IGNU,IBERDROLA GENERACION NUCLEAR,18XIGNU-123456-1,Productor
IBGT,IBERDROLA GENERACION TERMICA,18X000000000A32F,Productor
IBSEN,IBERDROLA SERVICIOS ENERGETICO,18X0000000009KQV,Comercializador
GALA1,IBERELECTRICA COMERCIALIZADORA,18XGALA1-12345-B,Comercializador
IBSUS,IBERICA DE SUSPENSIONES,18X000000000L433,Consumidor directo mercado
IBERB,"IBERICA IMPULSA, S.L",18X000000000K1YS,Comercializador
IBERY,"IBERMAX ENERGY Y CONSULTING, S.L",18X000000000NKYX,Comercializador
IDESE,"IDES ENERGÍA, S.L.",18X000000000P5OG,Comercializador
IGNIS,IGNIS COMER ELECTRICA,18XIGNIS-12345-C,Comercializador
CYDDP,IGNIS GENERACIÓN S.L.,18X0000000002A2Q,Productor
LAND,ILANDS AND BUILDINGS,18XLAND-123456-J,Consumidor directo mercado
IM3,IM3ENERGIA,18XIM3ENERGIASLH,Comercializador
IMAXI,"IMAXIMA ENERGIA, S.L.",18X000000000PL9Z,Comercializador
IMPER,IMPERIUM LUMEN S.A.,18X000000000MYZU,Comercializador
INARG,INARGY SPOT S.L.U.,18X000000000P92B,Comercializador
ICGAS,INCOGAS,18XICGAS-12345-W,Comercializador
INDA,"INDALO ENERGÍA, S.L.",18X000000000PE7N,Comercializador
INDAR,"INDAREL KUDEAKETA, SLU",18X000000000P74D,Comercializador
INDEX,INDEXO ENERGIA,18XINDEXOENERGIR,Comercializador
INERM,INER MADRID SL,18X000000000PDTJ,Comercializador
INER1,INER1CO1,18XINER1-12345-W,Comercializador
INGAR,INGAROIL,18XINGAR-12345-K,Productor
ISMSL,INGEBAU SOLUCIONES DE MEDIDA,18X000000000F2DD,Comercializador
INGEM,INGEM ENERGIA SL,18X000000000IFXX,Comercializador
IENOV,INICIATIVA E.NOVA,18XIENOV-12345-N,Comercializador
INICB,"INICIATIVAS ENERGÉTICAS O3, S.L.",18X000000000PCAN,Comercializador
INTEG,INTEGRACION EUROPEA DE ENERGIA,18XINTEG-12345-A,Comercializador
INTEA,INTERENERGIA ENERGY TRADING COMPANY,18X000000000L6I4,Comercializador
INTRA,INTRAENERGIA REPRESENTACION SL,18XINTRAENERGIAP,Comercializador
INUSK,INUSK01,18X000000000IJJC,Comercializador
INVEV,INVERGOMAR RESTAURACION SL,18X000000000PJB0,Representante
ISYDE,INVESYDE COMERCIALIZADORA,18X000000000FUC5,Comercializador
IONA,IONA ENERGÍA,18X000000000PIXX,Comercializador
IRIS,IRIS ENERGIA EFICIENTE,18X0000000008IYP,Comercializador
ISAEC,ISAE COMERCIALIZACION S.L.,18X000000000P5C3,Comercializador
ISEO,ISEO ENERGÍA S.L.,18X000000000P2UD,Consumidor directo mercado
KARMA,ISOEN ENERGY SOLUTIONS SL,18X000000000P3RG,Comercializador
ITURB,ITURBEGI S.L.,18XITURB-12345-R,Productor
JARON,J.ARON & COMPANY,11XJARON-------M,Comercializador
JMFEN,"JMF ENERGIAS RENOVABLES, S.L",18X000000000P4NL,Comercializador
JOVE,JOVE ENERGÍA RENOVABLE SL,18X000000000P777,Comercializador
JUANX,JUAN ENERGY COMERCIALIZADORA,18X000000000HBED,Comercializador
JDALU,JUNTA ANDALUCIA,18XJDALU-12345-J,Productor
JUSEP,JUST ENERGY PRO LUZ,18X000000000NVJU,Comercializador
KILVE,KILOWATIOS VERDES SL,18X0000000002KI1,Comercializador
KINE,"KINESTALIA ENERGIA, SOCIEDAD LIMITADA",18X000000000NLOD,Comercializador
KIRIN,"KIRIN RENOVABLES, SOCIEDAD LIMITADA",18X000000000P8FP,Comercializador
KODLC,KODL CAPITAL SL,18X000000000IVZI,Comercializador
KONRY,KONERY EFICIENCIA ENERGTICA,18XKONRY-12345-5,Consumidor directo mercado
KVASI,KVASIR TECHNOLOGIES LIMITED,48X000000000361P,Comercializador
KWFVI,"KWFVI ENERGÍA, S.L",18X000000000HTJN,Comercializador
LACOR,LA CORRIENTE S COOP,18X000000000BFEP,Comercializador
LAUEI,"LA UNIÓN ELECTRO INDUSTRIAL, S",18XLAUEI-12345-O,Comercializador
LAVAL,LA VALL COMERCIALIZADORA ELECTRICA SOCIEDAD LIMITADA,18X000000000NBHK,Comercializador
LABOI,LABOIL ENERGIA SL,18XLABOI-12345-M,Comercializador
LABOA,LABOR SOLIS COMERCIALIZADORA DE ENERGÍA S.L,18X000000000NNKF,Comercializador
LADYW,LADY WARSAW INVESTMENT SL,18X000000000P8MB,Comercializador
LAMPY,"LAMPYRIS ENERGIA, S.L.",18X000000000PIFW,Comercializador
LEONC,LEON COMERCIALIZADORA DE ENERGIA,18X000000000P7VX,Comercializador
LIDER,LIDERA COMERCIALIZADORA ENERGIA SL,18X000000000JXBJ,Comercializador
LDGIA,LIDERGIA,18XLIDERGIACOMMR,Productor
SOLTE,LIMPIEZA ENERGÉTICA 2024 SL,18X000000000P3BB,Comercializador
LINAM,LINAMAR LIGHT METALS ZARAGOZA S.A.U,18X000000000P8DT,Consumidor directo mercado
LINKE,LINK ENERGIA,18X000000000GSW4,Comercializador
LPWEN,LOCAL POWER ENERGY SL,18X000000000PL2C,Comercializador
LOCAL,"LOCALUZ ENERGIA, S.L.",18X000000000PBEI,Comercializador
LMER,LONJAS TECNOLOGIA S.A.,18XLMER-123456-J,Productor
LEDCE,LOOP ELECTRICIDAD,18XLEDCE-12345-Y,Comercializador
LOVEE,LOVE ENERGY,18X000000000H9K7,Comercializador
LOVIL,"LOVILUZ ENERGIA, S.L",18X000000000PBFG,Comercializador
LCOST,LOWCOSTPOWER,18X000000000ITIL,Comercializador
LUCIE,LUCIÉRNAGA COMERCIALIZADORA,18X0000000004P62,Comercializador
LUCIA,"LUCIFERASA-2 ENERGIA, S.L.",18X000000000P57D,Comercializador
LUCK,LUCKY LUZ ENERGIA SL,18X000000000P882,Comercializador
LUX,LUX FORUM SLU,18XLUX-1234567-H,Comercializador
LUXIA,"LUXIA ENERGIA Y CONSULTORES, S.L.",18X000000000P73F,Comercializador
LSINC,"LUZ SOLIDARIA INCLUSIVA, SL",18X000000000MYD0,Comercializador
LUZSO,LUZ SOLIDARIA SL,18X000000000F3TF,Comercializador
LUZYE,LUZY ENERGIA RENOVABLE SLU,18X000000000NEUM,Comercializador
LUZYG,LUZYGAS IBERIA SL,18X000000000P5NI,Comercializador
MACEB,MACEB,18X000000000I9I7,Consumidor directo mercado
MFRSA,MAFRESA IBERICO DE CONFIANZA,18X000000000EYOA,Consumidor directo mercado
MANUE,MANUEL GALLEGO MUDARRA,18X000000000PGD5,Productor
ONE,MARRUECOS,18XONE-123456-6M,Comercializador
MARTB,MARTIN LOPEZ DE PETROLEOS,18X000000000KYSF,Comercializador
MASAL,"MAS ALLA PRODUCTOS ENERGETICOS, S.L.",18X000000000PC9P,Comercializador
MASIN,MAS INTELIGENCIA,18XMASINTELIGEN8,Comercializador
MASNA,"MASNORTE GLOBAL POWER, SOCIEDAD LIMITADA",18X000000000PCEF,Comercializador
MASQL,MASQLUZ 2020,18X000000000H7YM,Comercializador
PLATA,MATADERO EL CABEZO DE LA PLATA,18X0000000001VL3,Consumidor directo mercado
MOIA,MATADERO MOIA,18XMOIA-123456-Y,Consumidor directo mercado
MAZEE,MAZE ENERGY S.L.,18X000000000PAEL,Comercializador
MEG,MEGARA ENERGIA SOC COOP,18XMEG-1234567-D,Comercializador
MEGAW,MEGAWATIO ENERGÍA SL,18X000000000P2MT,Comercializador
MERCU,MERCURIA ENERGY TRADING SA,12XMETSA-------C,Comercializador
MERKA,MERKAOÑA S.L.,18X000000000PEY6,Comercializador
MEROL,MEROLTEX SL,18X000000000N7IU,Consumidor directo mercado
METEN,"MET ENERGÍA ESPAÑA, S.A.U.",18X0000000001WNX,Comercializador
TALGA,METALGAR,18X000000000NWT7,Consumidor directo mercado
MINAI,MINAI SERVICIOS ENERGETICOS,18X000000000GSF1,Comercializador
MINAL,MINAS DE ALCANTARA SL,18X00000000014VR,Consumidor directo mercado
MODI,MODISPREM,18XMODI-123456-9,Consumidor directo mercado
MOLAL,MOLALUZ ENERGIA SL,18X000000000P7HO,Comercializador
MOLE,MOLECOR,18XMOLE-123456-Z,Consumidor directo mercado
MOLEC,MOLECOR CANALIZACIONES S.L,18X000000000OXWV,Consumidor directo mercado
MONTR,MONTARTO TECHNOLOGY SL,18X000000000OQMZ,Comercializador
MORTE,MORTERO SOLAR SPAIN S.L,18X000000000P9YL,Comercializador
MENER,MOSCOSO ENERGIA,18XMENER-12345-X,Comercializador
MOVHE,MOVHERA - HIDROELETRICAS DO NORTE SA,16XMOVHE-------W,Comercializador
MOVIE,MOVIER ENERGIA SOSTENIBLE S.L.,18X000000000P36L,Comercializador
MUEST,MUESTRARIOS IBERIA SL,18X000000000OD9Q,Consumidor directo mercado
MULTI,MULTIENERGIA VERDE,18XMULTI-12345-G,Comercializador
MULTA,MULTISERVICIOS TECNOLOGICOS SA,18XMUL-1234567-P,Comercializador
MULTB,MULTITELEC ENERGIA RENOVABLES SL,18X000000000P4QF,Comercializador
MSVSL,MUNICIPAL DE SERVICIOS VILLAHE,18XMSVSL-12345-O,Comercializador
MYEN,MY ENERGIA ONER S.L.,18XMYENERGIAONEZ,Comercializador
MYENX,MYENXXI,18X000000000KR0I,Comercializador
NABAL,NABALIA ENERGIA,18XNABAL-12345-Z,Comercializador
GNCC,NATURGY CICLOS COMBINADOS,18X000000000LF29,Productor
NYCLI,"NATURGY CLIENTES, S.A.",18X000000000ME36,Comercializador
GNFG,NATURGY GENERACIÓN S.L.U.,18XGNFG-123456-N,Productor
NEMON,NEMON INTELLIGENCE IN BUSINESS,18XNEMON-12345-4,Comercializador
NETON,"NETON ENERGY SERVICES, S.L.U.",18X000000000ORPQ,Comercializador
NEURO,NEURO ENERGIA,18X00000000074FZ,Comercializador
NEXAM,NEXT ENERGiA XXI SL,18X000000000KQZP,Comercializador
NEXAP,"NEXT ENERGY PLUS, S.L.",18X000000000PASU,Comercializador
NEXU,NEXUS ENERGIA,18XNEXU-12345-1F,Comercializador
NRENO,"NEXUS RENOVABLES, S.L.",18XNRENO-12345-B,Comercializador
NIDHO,NIDHOG APS,45X0000000000537,Comercializador
NIVA,NIVAPLAST RECICLADOS,18XNIVA-123456-O,Consumidor directo mercado
NOBLE,NOBLE CLEAN FUELS LIMITED,11XNOBLE-------F,Comercializador
NOCTI,"NOCTILUCA ENERGIA, S.L.",18X000000000PELW,Comercializador
NORDW,NORDWESTEN ENERGIE SL,18X000000000P6YU,Comercializador
NORE,NORTELECTRICA SA,18X0000000006N8X,Comercializador
NOSA,NOSA ENERXIA SCG,18XNOSA-123456-M,Comercializador
NETRA,NOVA ENERGIA TRADING SL,18X000000000PG2R,Comercializador
NVLZE,NOVALUZ ENERGÍA SL,18X000000000F1RP,Comercializador
NCE,NUEVA COMERCIALIZ ESPAÑOLA SL,18XNCE-1234567-9,Comercializador
NENAP,NUEVAS ENERGIAS APLICADAS SL,18X000000000PFQJ,Representante
NUKIK,"NUKIK ENERGY, SL",18X000000000PFUB,Comercializador
NUMI,NUMINARION SL,18X000000000PLJF,Comercializador
UMEME,OCTOPUS ENERGY ESPANA SLU,18X000000000EWHU,Comercializador
OCYE,OCYENER S.L.,18X000000000PJFT,Comercializador
ODARA,"ODARA RENOVABLES, S.L.",18X000000000PJ1K,Comercializador
ODELL,"ODELL ENERGY, S.L",18X000000000PH5I,Comercializador
ODF,ODF ENERGIA LIBRE,18XODF-1234567-A,Comercializador
OHMEY,OHM EYG COMERCIALIZADORA,18X000000000JNZ1,Comercializador
OHMIA,OHMIA ELECTRA,18X0000000004RPW,Comercializador
OKENE,OK_TU_ENEGIA_VERDE,18X000000000ITP7,Comercializador
OLE,OLE GREEN ENERGY,18XOLE-123456--N,Comercializador
OLIVA,OLIVES AND PICKLES,18X000000000KUDK,Consumidor directo mercado
OLIVC,OLIVIA COMERCIALIZADORA SLU,18X000000000B73Y,Comercializador
ONDEM,ON DEMAND FACILITIES,18XONDEMAND----Q,Comercializador
ONDAR,ONDARE UNIVERSIDAD SLU,18X000000000PAUQ,Consumidor directo mercado
ONS,ONSE,18X000000000BTUP,Consumidor directo mercado
REE,OPERADOR DEL SISTEMA,10XES-REE------E,Operador del sistema
OPPI,OPPIDUM,18XOPPI-123456-O,Comercializador
OURGR,"OUR GREEN ENERGY, S.L.",18X000000000PEVC,Comercializador
PEALT,P. E. DEL ALTIPLANO,18XPEALT-12345-C,Productor
PEBEC,P.E. BECERRIL S.L.,18XPEBEC-12345-2,Productor
PANDO,"PANDORA ENERGÍA, S.L.",18X000000000PEZ4,Comercializador
PTENG,PARATIENERGIA,18X000000000KUWJ,Comercializador
PEL,PELLET ASTURIAS,18X18XPELLETSASW,Consumidor directo mercado
NAVAR,PETRONAVARRA SL,18XNAVAR-12345-K,Comercializador
PESL,PETRONIEVES ENERGIA COMERCIALI,18XPESL-123456-6,Comercializador
DARUZ,PIENSOS DARUZ,18XPIENSOSDARUZV,Consumidor directo mercado
PINDO,PINDO ELECTRICIDAD Y GAS,18X000000000GSX2,Comercializador
PISUE,PISUERGA INFRAESTRUCTURAS ENERGETICAS SL,18X000000000P8BX,Comercializador
MATA,PIZARRAS MATACOUTA S.A,18XMATA-123456-7,Consumidor directo mercado
PLACG,PLANA CAN GUITART S.L.,18XPLANACG-1234D,Productor
BOTAR,PLANTA MECA-BIOLOGICA BOTARELL,18XBOTAR-12345-U,Productor
HELIO,"PLANTA SOLAR HELIOS I, S.L.",18XPSHELIOSI000N,Productor
PLAS,PLASPISA SA,18XPLAS-123456-D,Consumidor directo mercado
SPGG,PLASTIENVASE,18X0000000009MEC,Consumidor directo mercado
POLAR,"POLAR COMERCIALIZADORA ELÉCTRICA, S.L.",18X000000000P9AW,Comercializador
PONTC,PONTS COMERCIALITZADORA MUNICI,18X0000000002NA8,Comercializador
POTEN,POTENZIA COMERCIALIZADORA SL,18X0000000000T66,Comercializador
POWEE,POWER PULSE IBERIA SL,18X000000000P6Q9,Comercializador
POWED,POWER SOLAR TRADE SL,18X000000000P65E,Comercializador
SUNCA,POWER WATT ENERGY,18X0000000006YAX,Comercializador
POWER,POWERMART APS,23X-POWERMART--8,Comercializador
PRAET,PRAETIUM ENERGY SOCIEDAD LIMITADA,18X000000000PFV9,Comercializador
PRIMV,PRIMEVOLT ENERGY SL,18X000000000PING,Comercializador
CHURR,PRODUCTOS  CHURRUCA,18X000000000N045,Consumidor directo mercado
SOPRO,PROFIT ENERGY SL,18X000000000NROW,Comercializador
PROSA,PROSOL ENERGÍA COMERCIALIZADORA SL,18X000000000KYF4,Comercializador
PROTC,PROT ENERGIA COMERCIALIZACION,18XPROTENERGIACD,Comercializador
PULSA,PULSAR ENERGIA,18XPULSA-12345-M,Comercializador
QUANT,"QUANTICA COMERCIALIZADORA DE ENERGIA, S.L",18X000000000N7MM,Comercializador
QUANA,QUANTUM LUX 6.4 S.L,18X000000000NCL9,Comercializador
QENER,QUASAR ENERGIA,18X0000000007UJN,Comercializador
RDGCO,"RDG COMERCIALIZADORA GALEGA DE ENERXIA, S.A.",18X000000000P9TV,Comercializador
WATIO,RECICLAJE ECOLOGICOS BARATHEON,18X000000000H3GX,Comercializador
CHAND,RECICLAJES ECOLGICOS CHANDUY,18X000000000HNI6,Comercializador
NAGIN,RECICLAJES ECOLOGICOS NAGINI SL,18X000000000JXI5,Comercializador
EONUR,REGISITI COM. REGULADA,18XEONUR-123456S,Comercializador de Referencia
REMIC,REMICA COMERCIALIZADORA,18XREMIC-12345-0,Comercializador
SOREX,RENEWABLE ENERGY OPTIMISATION,48X000000000264N,Comercializador
RCONS,RENOVAE CONSULTING,18X000000000IL6W,Comercializador
RENUE,"RENU ENERGY, S.L.",18X000000000P4LP,Comercializador
VIEE,REPCOM EYG,18XVIEE-12345-36,Comercializador
RECON,REPRESENTANTES DE CONSUMIDORES EN EL MERCADO ELECTRICO,18XRECON-12345-P,Consumidor directo mercado
VIEG,REPSOL GENERACIÓN ELECTRICA,18XVIEG-12345-0T,Productor
REPP,REPSOL PETROLEO SA,18XREPP-12345-0T,Productor
REPQ,"REPSOL QUIMICA, S.A.",18XREPQ-12345-0J,Consumidor directo mercado
REPSB,REPSOL SERVICIOS RENOVABLES SA,18X000000000KUYF,Representante
RSPRA,RESPIRA ENERGIA,18XRSPRA-12345-N,Comercializador
RSPRE,RESPIRA ESPAÑA,18X0000000000BY4,Comercializador
REUSS,"REUS SERVEIS MUNICIPALS, SA",18X000000000LWMT,Comercializador
REYSE,REYSE ENERGIA SL,18XREYSE-12345-9,Comercializador
ROFEN,"ROFEICA ENERGIA, S.A.",18XROFEN-12345-9,Comercializador
OESTE,RONDA OESTE ENERGIA,18XOESTE-12345-U,Comercializador
ROTOR,ROTOR PRINT S.L,18X000000000PG4N,Consumidor directo mercado
SAHKO,SAHKOA SMART ENERGY SL,18X000000000PBAQ,Comercializador
SJUCA,SALTOS DEL JUCAR HIDRAULICA,18XSJUCA-12345-S,Productor
SAMAR,"SAMARA ENERGIA VPP, S.L.",18X000000000P8KF,Comercializador
SAMP,SAMPOL INGENIERIA Y OBRAS,18XSAMP-12345-1L,Productor
CHPED,SAN PEDRO DE ARAIA,18X000000000P1OS,Comercializador
SAPIE,SAPIENS ENERGIA COOPS,18X000000000K1HP,Comercializador
SASKI,SASKI BASKONIA SAD,18X000000000P22W,Consumidor directo mercado
SAIMP,SAT N9888 IMPERIO,18X000000000OB8Y,Consumidor directo mercado
SATSP,SATSP,18X000000000HFLO,Consumidor directo mercado
PRADO,SCL MTRA SRA DEL PRADO,18X0000000001MMS,Consumidor directo mercado
SEIYA,"SEIYA ENERGIA, S.L.",18X000000000PKQ4,Comercializador
SENEO,"SENEO, COOP.V.",18XSENEO-12345-J,Comercializador
SEDAE,SERV. ENER. DE ALTA EFICIENCIA,18XSEDAE-12345-0,Comercializador
SIRUS,SERVEI D INCINERACIÓ DELS RESI,18XSIRUSA------T,Productor
SEXTS,SERVICIO EXTREMEÑO DE SALUD,18X0000000008GQA,Consumidor directo mercado
SERVC,SERVICIOS ENERGÉTICOS AVANZADOS SL,18X000000000P3KU,Comercializador
SERV,SERVIENERGIA ELECTRICA SL,18X000000000P7JK,Comercializador
SYENE,SHAREYOURENERGY,18X000000000LH9Q,Comercializador
SHEEN,SHELL ENERGY,18XSHEEN-1234-6L,Comercializador
SHELL,"SHELL ESPAÑA, S.A.",18XSHELL-1234-3C,Comercializador
SHIRY,"SHIRYU ENERGIA, S.L.",18X000000000PIPC,Comercializador
SIGNO,"SIGNO ENERGY, S.L.",18X000000000ITMD,Comercializador
HSCOM,SILLEDA COMERCIALIZADORA,18X0000000000WIA,Comercializador
SIMPE,SIMPLES ENERGIA DE ESPAÑA SL,18X0000000000CJV,Comercializador
SIMP,SIMPLIA ENERGIA S.L,18X000000000PBDK,Comercializador
SMARC,SMARTESTENERGY LIMITED,18X000000000PENS,Comercializador
SMARB,SMARTLUZ ENERGY,18X000000000HOJ1,Productor
SMURF,"SMURFIT KAPPA NERVION, S.A.",18XSMURF-12345-J,Productor
SNIA,SNIACE S.A.,18XSNIA-123456-5,Productor
VIRTM,SOCIEDAD ARAGONESA,18X000000000HNBK,Comercializador
COTIR,SOCIETAT MUNICIPAL DE COMERCIA,18X0000000004GUI,Comercializador
SOCIN,SOCIÉTÉ EUROPÉENNE DE GESTION DE L'ENERGIE S.A.,21X000000001110Y,Comercializador
SOLRC,SOLARIA REPRESENTACIÓN EN MERCADO S.L.,18X000000000PBTP,Representante
SBYCO,"SOLBY DESARROLLOS EMPRESARIALES, S.L",18X000000000PJYS,Consumidor directo mercado
SOLFL,SOLFLIX SOLAR S.L.,18X000000000P38H,Comercializador
SLCZN,"SOLUZIONA TU ENERGIA, S.L.",18X000000000PH2O,Comercializador
SOLWE,SOLWE ENERGÍA,18X000000000JVBP,Comercializador
SOMEN,SOM ENERGIA COOPERATIVA,18XSOMEN-12345-U,Comercializador
SOLUZ,SONESTA LUZ,18X000000000P9UT,Comercializador
SONNI,"SONNEDIX ESPAÑA COMERCIALIZADORA, S.L.",18X000000000PIOE,Comercializador
SPINR,SPINREACT SAU,18X0000000005ZAY,Consumidor directo mercado
SPOCK,"SPOCK P2P, S.L.",18X000000000P4OJ,Representante
SSEEN,SSE ENERGY SUPPLY LIMITED,23X--140207-SSE9,Comercializador
SMG,STATKRAFT MARKETS GMBH,11XSTATKRAFT001N,Comercializador
STIN,STIN SA,18X-ROTOSTIN01-1,Comercializador
SPBB,SUAVIZANTES Y PLASTIFICANTES BITUMINOSOS,18XSPBB-123456-B,Consumidor directo mercado
SUCAS,SUCA SOCIEDAD COOPERATIVA,18X0000000001I6Z,Comercializador
RELUZ,SUJETO DE MERCADO RELUZCA,18X000000000IS2J,Comercializador
ENERP,SUJETO ENERPLUS,18XENERP-12345-G,Comercializador
SULA,SULAYR,18XSULA-12345--K,Consumidor directo mercado
SUMIA,"SUMINISTROS PROPIOS ENERGIA, SLU",18X000000000PGPI,Comercializador
SUNPS,SUN POWER SPAIN 365,18X000000000NI9F,Comercializador
SUNAI,SUNAIR ONE ENERGY,18XSUNAI-12345-W,Comercializador
SUNHO,SUNAIR ONE HOME,18XSUNAIRONEHOME,Comercializador
SUNFL,SUNFLIX RENOVABLES S.L.,18X000000000P37J,Comercializador
SAFE,"SUSTAINING AIR FOR EVERYONE, S.R.L.",18X000000000PESI,Comercializador
SWAPE,SWAP ENERGIA,18XSWAPE-12345-0,Comercializador
TALEN,TALARN ENERGIA ELECTRICA,18X00000000023AV,Comercializador
TAPOW,TARRAGONA POWER S.L,18XTAPOW-1234-0O,Productor
TATAN,TATANKA ENERGÍA S.L.,18X000000000PJ6A,Comercializador
TAUTR,TAUTRA ENERGIA,18X000000000KFBW,Comercializador
TLCOR,TELECOR REPRESENTANTE CONSUMIDORES DIRECTOS,18X000000000I3YU,Consumidor directo mercado
TSOL,TELEFÓNICA SOLUCIONES,18XTSOLUCIONES1N,Comercializador
TENDE,TENSINA DE ENERGIA Y SERVICIOS,18X0000000002JY9,Comercializador
TEXTB,TEXTIL PUIG UBACH SA,18X000000000M3UM,Consumidor directo mercado
