codigo_de_uf,codigo_eic,descripcion_corta,descripcion_larga,tipo_de_produccion,vinculacion_con_sm,vinculacion_con_up,potencia_maxima_mw
SPARAMO,18WSPARAMO-123-X,SPARAMO,P.E. SERRA DO PARAMO,Híbrida Renovable,WMARK,HIBSPAR,"23,2"
SPB1B,18W000000000TRW6,SPB1B,SPB1B,Consumos directos en mercado,SPBB,SPBBR01,"0,9"
SPB4B,18W000000000TRX4,SPB4B,SPB4B,Consumos directos en mercado,SPBB,SPBBR01,"1,5"
SPBBC01,18W-SPBBC01-8--2,SPBBC01,SPBBC01,Consumos directos en mercado,SPBB,SPBBC01,"2,1"
SPCKC01,18W000000000RBAW,SPCKC01,SPCKC01,Comercializadores mercado libre,SPOCK,SPCKC01,"0,1"
SPEEXXI,18W-SPEEXXI-2--N,SPEEXXI,"END CUR  ( SOLAR TERMICA, PRUE",Solar térmica,EEXXI,SPEEXXI,"0,0"
SPELARD,18W000000000F5YD,S PELARDA,PE SIERRA PELARDA,Eólica terrestre,ECYR,EEGPEV,"14,4"
SPELAYO,18W000000000QRBN,SPELAYO,UF SOLAR SAN PELAYO,Solar fotovoltaica,NEXU,FSPELYO,"2,8"
SPEONUR,18W-SPEONUR-9--Q,SPEONUR,"E.ON CUR ( SOLAR TERMICA, PRUE",Solar térmica,EONUR,SPEONUR,"0,0"
SPGGC01,18W000000000GQO3,SPGGC01,SPGGC01,Consumos directos en mercado,SPGG,SPGGC01,"0,8"
SPHCCUR,18W-SPHCCUR-1--2,SPHCCUR,"HC CUR ( SOLAR TERMICA, PRUEBA",Solar térmica,HCCUR,SPHCCUR,"0,0"
SPIBCUR,18W-SPIBCUR-5--M,SPIBCUR,"IB CUR  ( SOLAR TERMICA, PRUEB",Solar térmica,IBCUR,SPIBCUR,"0,0"
SPINC01,18W000000000DTII,SPINC01,SPINC01,Consumos directos en mercado,SPINR,SPINC01,"1,0"
SPIVB,18W000000000TZ25,SPIVB,SPIVB,Eólica terrestre,GNRA,UPSPIV,"16,0"
SPR1,18WSPR1-12345-AM,S.PEDRO 1,SAN PEDRO 1,Embalse,IBEG,SIL,"17,2"
SPR2,18WSPR2-12345-AC,S.PEDRO 2,SAN PEDRO 2,Embalse,IBEG,SIL,"17,1"
SPR21,18WSPR21-1234--H,S PEDRO2 1,SAN PEDRO2 1,Embalse,IBEG,SIL,"25,8"
SPS1,18WSPS1-12345-AB,S.PASCUA 1,SAN PASCUAL 1,Fluyente,ENDG,GDLQ,"0,4"
SPS2,18WSPS2-12345-A1,S.PASCUA 2,SAN PASCUAL 2,Fluyente,ENDG,GDLQ,"0,4"
SQR1,18WSQR1-12345-AA,SEQUEIRO 1,SEQUEIROS 1,Embalse,IBEG,SIL,"6,6"
