Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Dia,26-06-2026,26-06-2026.1,26-06-2026.2,26-06-2026.3,26-06-2026.4,26-06-2026.5,26-06-2026.6,26-06-2026.7,26-06-2026.8,26-06-2026.9,26-06-2026.10,26-06-2026.11,26-06-2026.12,26-06-2026.13,26-06-2026.14,26-06-2026.15,26-06-2026.16,26-06-2026.17,26-06-2026.18,26-06-2026.19,26-06-2026.20,26-06-2026.21,26-06-2026.22,26-06-2026.23,26-06-2026.24,26-06-2026.25,26-06-2026.26,26-06-2026.27,26-06-2026.28,26-06-2026.29,26-06-2026.30,26-06-2026.31,26-06-2026.32,26-06-2026.33,26-06-2026.34,26-06-2026.35,26-06-2026.36,26-06-2026.37,26-06-2026.38,26-06-2026.39,26-06-2026.40,26-06-2026.41,26-06-2026.42,26-06-2026.43,26-06-2026.44,26-06-2026.45,26-06-2026.46,26-06-2026.47,26-06-2026.48,26-06-2026.49,26-06-2026.50,26-06-2026.51,26-06-2026.52,26-06-2026.53,26-06-2026.54,26-06-2026.55,26-06-2026.56,26-06-2026.57,26-06-2026.58,26-06-2026.59,26-06-2026.60,26-06-2026.61,26-06-2026.62,26-06-2026.63,26-06-2026.64,26-06-2026.65,26-06-2026.66,26-06-2026.67,26-06-2026.68,26-06-2026.69,26-06-2026.70,26-06-2026.71,26-06-2026.72,26-06-2026.73,26-06-2026.74,26-06-2026.75,26-06-2026.76,26-06-2026.77,26-06-2026.78,26-06-2026.79,26-06-2026.80,26-06-2026.81,26-06-2026.82,26-06-2026.83,26-06-2026.84,26-06-2026.85,26-06-2026.86,26-06-2026.87,26-06-2026.88,26-06-2026.89,26-06-2026.90,26-06-2026.91,26-06-2026.92,26-06-2026.93,26-06-2026.94,26-06-2026.95
,,,,Cuarto de Hora del dia,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
Sentido,Unidad de Programación,Bloque,Tipo Oferta,Indicadores,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW
Compra,A2GAME2,Blq. 1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2",,"-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2","-1,2",,"-1,2"
Compra,ABA1,Blq. 1,1,,"-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1"
Compra,ABA2,Blq. 1,1,,"-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1"
Compra,ACE3,Blq. 1,1,,"-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0","-386,0"
Compra,ACE4,Blq. 1,1,,"-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6","-372,6"
Compra,AEIDGEN,Blq. 1,10,,"-1,0","-0,9","-0,8","-0,8","-0,4","-0,6","-0,6","-0,7","-0,6","-0,6","-0,5","-0,5","-0,6","-0,5","-0,5","-0,5","-0,6","-0,6","-0,5","-0,5","-0,3","-0,3","-0,3","-0,3","-0,7","-0,4","-0,4","-0,4","-0,3","-0,3","-0,4","-0,4","-0,5","-0,5","-0,3","-0,5","-0,5","-0,5","-0,5","-0,5","-0,3","-0,3","-0,3","-0,3","-0,5","-0,5","-0,5","-0,5","-0,6","-0,5","-0,5","-0,5","-0,6","-0,6","-0,6","-0,6","-0,7","-0,6","-0,6","-0,7","-0,7","-0,7","-0,6","-0,6","-0,4","-0,5","-0,5","-0,5","-0,6","-0,4","-0,6","-0,6","-0,5","-0,5","-0,5","-0,5","-0,6","-0,6","-0,5","-0,5","-0,3","-0,3","-0,2","-0,3","-0,1","-0,1","-0,1","-0,1","-0,1","-0,2","-0,2","-0,1","-0,1","-0,2","-0,2","-0,2"
Compra,AFALZ4C,Blq. 1,17,,"-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8"
Compra,AFALZ5C,Blq. 1,17,,"-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8","-25,8"
