up_code,up_name_final,legal_entity,group_name,group_confidence,ownership_pct,ownership_pct_numeric,owner_count,technology,unit_type_omie,zone_omie,uf_count,uf_codes,uf_names,subject_code,mapping_source,group_source_url
ADXC01,ADXC01,ADX RENOVABLES SL,,,100,100.0,1,Comercializadores mercado libre,COMERCIALIZADOR,ZONA ESPAÑOLA,1.0,ADXC01,ADXC01,ADXRA,eSIOS UP + OMIE exact code + eSIOS UF,
ADXRC03,AUDAX RENOVABLES DIRECTA,AUDAX RENOVABLES S.A.,,,100,100.0,1,Compras Consumo Directo,CONSUMIDOR DIRECTO,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXRE01,PREAL1,AUDAX RENOVABLES S.A.,,,100,100.0,1,RE Mercado Solar Fotovoltáica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXRE02,ALARCOS,AUDAX RENOVABLES S.A.,,,100,100.0,1,RE Mercado Solar Fotovoltáica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXRE03,CANTILLANA44,AUDAX RENOVABLES S.A.,,,100,100.0,1,RE Mercado Solar Fotovoltáica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXRE04,MIRANDA,AUDAX RENOVABLES S.A.,,,100,100.0,1,RE Mercado Solar Fotovoltáica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXRE05,HORN16,AUDAX RENOVABLES S.A.,,,100,100.0,1,RE Mercado Solar Fotovoltáica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXRE06,OLIVE23,AUDAX RENOVABLES S.A.,,,100,100.0,1,RE Mercado Solar Fotovoltáica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXRE07,OLIVE24,AUDAX RENOVABLES S.A.,,,100,100.0,1,RE Mercado Solar Fotovoltáica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXRE08,OLVEN22,AUDAX RENOVABLES S.A.,,,100,100.0,1,RE Mercado Solar Fotovoltáica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
ADXRE09,ZARA1,AUDAX RENOVABLES S.A.,,,100,100.0,1,RE Mercado Solar Fotovoltáica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
