uf_code,uf_name,up_code,subject_code,technology_esios
CIJ3,CIJARA 3,GDNA,ENDG,Embalse
CIJ4,CIJARA 4,GDNA,ENDG,Embalse
CILCOR,CILCOR,CILCOR,REPP,Derivados del petróleo o carbón
CIM1,CIMANES,UFGC,GNFG,Embalse
CIMAC01,CIMA,CIMAC01,CIMA,Comercializadores mercado libre
CINCA,CINCA,TFGASN,GNCO,Gas natural cogeneración
CINCOVI,CINCOVI,HVILLA,EGLE,Hidráulica - No UGH
CINEC01,CINEC01,CINEC01,CINET,Comercializadores mercado libre
CINSEIR,CINSEIR,EGASNE0,GNCO,Eólica terrestre
CIPRIAN,CIPRIAN,EGREEN,EGED,Eólica terrestre
CIR1,CIRAT 1,HDXT01,DUFER,Fluyente
CIR2,CIRAT 2,HDXT01,DUFER,Fluyente
CIREF,CIREF,FVGNRA,GNRA,Solar fotovoltaica
CISENER,CISENER,TPAYCA,EGLE,Gas natural cogeneración
CIURE,CIURE,RABANIL,GNRA,Biogás
CJAC,CAST.JACA,EBRACC1,ENDG,Fluyente
CJON3X,CCAA CTJ3,CJON3X,NATGA,Consumo de Servicios Auxiliares
CLARES,CLARES,EHIBGES,IBGES,Eólica terrestre
CLD1,CALDES 1,EBRFEN,ENDG,Embalse
CLD2,CALDES 2,EBRFEN,ENDG,Embalse
CLEAC01,CLEARVIEW,CLEAC01,CLEAR,Comercializadores mercado libre
CLIDC01,CLIDOMUP01,CLIDC01,CLIDM,Comercializadores mercado libre
CLIMAST,CLIMASTER,FDREU04,DREUA,Solar fotovoltaica
CLIMBER,CLIMBER,COGCLIM,DETIC,Gas natural cogeneración
CLIPCX1,CLIPCX1,CLIPCX1,CLIDM,Porfolio
CLIPVX1,CLIPVX1,CLIPVX1,CLIDM,Porfolio
CLJ1,CSTILLEJ 1,ASITAJ,ASIE,Fluyente
CLJ2,CSTILLEJ 2,ASITAJ,ASIE,Fluyente
CLL1,CNTLLANA 1,GDLQ,ENDG,Fluyente
CLL2,CNTLLANA 2,GDLQ,ENDG,Fluyente
CLM1,COLMENAR 1,JUCA,IBEG,Fluyente
CLM2,COLMENAR 2,JUCA,IBEG,Fluyente
CLMENTE,CLMENTE,FCLMNTE,NEXU,Solar fotovoltaica
CLUGAR,CLUGAR,FCLUGAR,NEXU,Solar fotovoltaica
CM08TC,CM08TC,FORTR01,FORTI,Comercializadores mercado libre
CMENGI,CMENGI,TSMURES,WMARK,Gas natural cogeneración
CMESA,CMESA,ESAV,IGNIS,Eólica terrestre
CMG2,CMG2,RGAME,AME,Biogás
CMILLAS,CMILLAS,CMILLAS,LMER,Gas natural cogeneración
CMOLINO,CMOLINO,FMOLINO,NEXU,Solar fotovoltaica
CMONTOU,PE MONTOUT,EGASNE1,GNCO,Eólica terrestre
CMORENO,CMORENO,ECMOREN,EBLCO,Eólica terrestre
CMOTRIL,CMOTRIL,TTFMOTR,NEXU,Gas natural cogeneración
CMR1,CAMARASA 1,EBRFEN,ENDG,Embalse
CMR2,CAMARASA 2,EBRFEN,ENDG,Embalse
CMR3,CAMARASA 3,EBRFEN,ENDG,Embalse
CMR4,CAMARASA 4,EBRFEN,ENDG,Embalse
CMTA1,COMETA1,ECMTA,REPSB,Eólica terrestre
CMTA2,COMETA2,ECMTA,REPSB,Eólica terrestre
CND1,CERNADO,SIL,IBEG,Fluyente
CNEGRID,CNEGRID,EFWMARK,WMARK,Eólica terrestre
CNEVERA,CNEVERA,EMEDI1,EGED,Eólica terrestre
CNL1,CANELLES 1,EBRFEN,ENDG,Embalse
CNL2,CANELLES 2,EBRFEN,ENDG,Embalse
CNL3,CANELLES 3,EBRFEN,ENDG,Embalse
CNM1,CONTRER 3,JUCA,IBEG,Fluyente
CNM2,CONTRER 4,JUCA,IBEG,Fluyente
CNOVE,CNOVE,UPCENS,GNRA,Solar fotovoltaica
CNR1,CNR1,ECNRG,REPSB,Eólica terrestre
CNR2,CNR2,ECNR,REPSB,Eólica terrestre
CNT1,CONTRER 1,JUCA,IBEG,Embalse
CNT2,CONTRER 2,JUCA,IBEG,Embalse
CNTLC01,CNTLC01,CNTLC01,CENTS,Comercializadores mercado libre
CO14NI,CO14NI,FORTR01,FORTI,Comercializadores mercado libre
CO21,CORTES 1,JUCA,IBEG,Embalse
CO22,CORTES 2,JUCA,IBEG,Embalse
CO28TO,CO28TO,FORTR01,FORTI,Comercializadores mercado libre
COALC01,COALG01 CO,COALC01,COALG,Comercializadores mercado libre
COBANE,COBANE,TFIBGES,IBGES,Gas natural cogeneración
CODES01,CODES01,EGASNE1,GNCO,Eólica terrestre
CODES02,CODES02,EGASNE1,GNCO,Eólica terrestre
CODOC01,CODOC01,CODOC01,CODOR,Comercializadores mercado libre
COELC01,GUADASSAUR,COELC01,COELD,Comercializadores mercado libre
COF1,COFRENTES,COF1,IGNU,Nuclear
COFERRE,COFERRE,TFERRE,EGLE,Gas natural cogeneración
COFRENT,COFRENT,ECOFREN,IGNIS,Eólica terrestre
COG75RQ,COG75RQ,COG75RQ,REPSB,Gas natural cogeneración
COGAJ,COGAJ,COGAJ,GNRA,Gas natural cogeneración
COGAYME,COGAYME,COGAYME,DETIC,Gas natural cogeneración
COGBERN,COGBERN,COGBERN,DETIC,Gas natural cogeneración
COGBIO2,COGBIO2,RCOGBIO,EGLE,Biogás
COGDERC,COGDERC,COGDERC,DETIC,Gas natural cogeneración
COGEC01,COGEC01 CO,COGEC01,COGEN,Comercializadores mercado libre
COGEN2,COGEN2,TPCOGE,EGLE,Gas natural cogeneración
COGENGA,COGENGA,TTECGA,EGLE,Gas natural cogeneración
COGFUST,COGFUST,COGFUST,DETIC,Gas natural cogeneración
COGFUT,UF_ROMA,UP_COGF,FUTGR,Gas natural cogeneración
COGGAIK,RYDETIC,COGGAIK,DETIC,Biomasa
COGINC2,INCUSA2,COGINC2,DETIC,Gas natural cogeneración
COGLOSR,COGLOSR,COGLOSR,DETIC,Gas natural cogeneración
COGMARQ,TYDETIC,COGMARQ,DETIC,Gas natural cogeneración
COGMIMS,COGMIMS,COGMIMS,DETIC,Gas natural cogeneración
COGNAV,COGNAV,TCOGNA,EGLE,Derivados del petróleo o carbón
COGOBLA,COGOBLA,COGOBLA,DETIC,Gas natural cogeneración
COGOLL2,COGOLL2,EEGPES,ECYR,Eólica terrestre
COGOPEL,COGOPEL,TGEMOT,EGLE,Gas natural cogeneración
COGPACH,COGPACH,COGPACH,DETIC,Gas natural cogeneración
COGPER,COGPER,TPERSAN,DETIC,Gas natural cogeneración
COGSAB,COGSAB,ENDER01,ENDCO,Comercializadores mercado libre
COGUTZ2,COGUTZ2,COGUTZ2,DETIC,Gas natural cogeneración
COL4,COLON 4,COL4,ENDG,Ciclo combinado
COLASEM,RE-004257,TCOLSEM,NEXU,Gas natural cogeneración
COLIV,COLIV,ECOLIVA,EBLCO,Eólica terrestre
COLIX1,COLIX1,UPSON3,GNRA,Solar fotovoltaica
COLIX2,COLIX2,UPSON3,GNRA,Solar fotovoltaica
COLLAD,COLLADILLO,ESAV,IGNIS,Eólica terrestre
COLLAD2,COLLAD2,EFWMARK,WMARK,Eólica terrestre
COLLADA,COLLADA,EFWMARK,WMARK,Eólica terrestre
COLLADO,COLLADO,EHIBGES,IBGES,Eólica terrestre
COLON,COLON,FCOLON,CEG,Solar fotovoltaica
COLORO,COLORO,ENDER01,ENDCO,Comercializadores mercado libre
COLVB,COLVB,UPCOLI,GNRA,Solar fotovoltaica
COMES,COMES,ECOMES,EGLE,Eólica terrestre
COMF01,COMF01,ENDER01,ENDCO,Comercializadores mercado libre
COMFC2,COMFC2,ENDER01,ENDCO,Comercializadores mercado libre
COMFC7,COMFC7,ENDER01,ENDCO,Comercializadores mercado libre
COMGC01,COMGC01,COMGC01,COMEG,Comercializadores mercado libre
COMPC01,COMPC01,COMPC01,COMPA,Comercializadores mercado libre
COMTC01,COMTC01,COMTC01,COMEE,Comercializadores mercado libre
CON1,CONSO 1G,SIL,IBEG,Embalse
CON1B,CONSO 1B,SILB,IBEG,Consumo bombeo
CON2,CONSO 2G,SIL,IBEG,Embalse
CON2B,CONSO 2B,SILB,IBEG,Consumo bombeo
CON3,CONSO 3G,SIL,IBEG,Embalse
CON3B,CONSO 3B,SILB,IBEG,Consumo bombeo
CONDADO,CONDADO,FPLMCND,NEXU,Solar fotovoltaica
CONDCLO,CONDCLO,FCNDCLL,NEXU,Solar fotovoltaica
CONEC01,COMPRA,CONEC01,CONEC,Comercializadores mercado libre
CONEFV0,C2FV,CONEFV0,CONEC,Solar fotovoltaica
CONESA2,CONESA,EHIBGES,IBGES,Eólica terrestre
CONESAI,CONESAI,EFWMARK,WMARK,Eólica terrestre
CONFI,CONFI,TTFCONF,NEXU,Gas natural cogeneración
CONSELL,FV CONSELL,FDREU15,DREUA,Solar fotovoltaica
CONSET,CONSET,ENDER01,ENDCO,Comercializadores mercado libre
CONST18,FV CONSTAN,FCONS18,WMARK,Solar fotovoltaica
CONSTAN,CONSTAN,FCONSTA,WMARK,Solar fotovoltaica
CONTC01,CONTALLUM,CONTC01,CONTA,Comercializadores mercado libre
CONUEVO,CONUEVO,UPWM273,WMARK,Eólica terrestre
CONVA,CONVA,UPCONVA,IGNIS,Gas natural cogeneración
COOSUR,COOSUR,TCOOSUR,DETIC,Derivados del petróleo o carbón
COPIC01,URANO V,COPIC01,URANA,Comercializadores mercado libre
COPLA,COPLA,TPAPRI,EGLE,Gas natural cogeneración
COPLA1,COPLA1,TPAPRI1,EGLE,Gas natural cogeneración
COR1,CORCHADO 1,GDLQ,ENDG,Fluyente
COR2,CORCHADO 2,GDLQ,ENDG,Fluyente
COR3,CORCHADO 3,GDLQ,ENDG,Fluyente
CORCO,CORCO,TIGCOR,COGEN,Gas natural cogeneración
CORDELV,CORDELV,EHIBGES,IBGES,Eólica terrestre
CORDIN,CHCORDIN,HDALT01,INTRA,Fluyente
CORELLA,CORELLA,FCORELA,GESTE,Solar fotovoltaica
CORESES,C,FCORESE,NEXU,Solar fotovoltaica
COREYSA,COREYSA,TCOREY,EGLE,Gas natural cogeneración
CORIA,CORIA,FCORIA,NEXU,Solar fotovoltaica
CORISCA,CORISCA,EREGPEM,ECYR,Eólica terrestre
CORME3,CORME3,HCGSCSA,HC G,Eólica terrestre
CORONA,CORONA,FCORONA,CEG,Solar fotovoltaica
CORPC01,CORPOLUX,CORPC01,CORPO,Comercializadores mercado libre
CORTADO,CORTADO,EREGPEM,ECYR,Eólica terrestre
CORTES,CORTES,RCESRE,EGLE,Biogás
CORVERA,CORVERA,FCORVER,NEXU,Solar fotovoltaica
CORZAN,CORZAN,EEGPEM,ECYR,Eólica terrestre
COSCOJA,COSCOJA,EHIBCOS,NEXU,Híbrida Renovable
COSEMA1,COALSEMA,TCOALSA,EGLE,Gas natural cogeneración
COSENT,COSENT,FCOSENT,HISPE,Solar fotovoltaica
COSJAR2,COSJAR2,ECOSJAR,NEXU,Eólica terrestre
COSSI,COSSI,FVGNRA,GNRA,Solar fotovoltaica
COTALSA,COTALSA,TUTISA,CEG,Gas natural cogeneración
COTASA,COTASA,TATOM,EGLE,Gas natural cogeneración
COTERA,COTERA,EHIBGES,IBGES,Eólica terrestre
COTEREJ,COTEREJ,EHIBGES,IBGES,Eólica terrestre
COTILLA,COTILLA,FVCOTI2,WMARK,Solar fotovoltaica
COTORRA,COTORRA,EMIRASI,MIRAS,Eólica terrestre
COUTO,COUTO,EEGPEM,ECYR,Eólica terrestre
COVAPED,COVAPED,TCOVAP,EGLE,"Híb. Renov., Term. No Renov"
COVAT1,COVAT1,UPCOV1,GNRA,Solar fotovoltaica
COVAT5,COVAT5,UPCOV5,GNRA,Solar fotovoltaica
COVAT6,COVAT6,UPCOV6,GNRA,Solar fotovoltaica
COVILL,COVILL,TPCOVI,EGLE,Derivados del petróleo o carbón
COVISLA,COVISLA,TPLACG,PLACG,Derivados del petróleo o carbón
CP31AL,CP31AL,FORTR01,FORTI,Comercializadores mercado libre
CP31AT,CP31AT,FORTR01,FORTI,Comercializadores mercado libre
CP31HO,CP31HO,FORTR01,FORTI,Comercializadores mercado libre
CP31OL,CP31OL,FORTR01,FORTI,Comercializadores mercado libre
CP39MA,CP39MA,FORTR01,FORTI,Comercializadores mercado libre
CP58MO,CP58MO,FORTR01,FORTI,Comercializadores mercado libre
CPALO,CPALO,EHIBGES,IBGES,Eólica terrestre
CPANISS,CPANISS,EFWMARK,WMARK,Eólica terrestre
CPD0,CAPDELLA 0,EBRFEN,ENDG,Embalse
CPD1,CAPDELLA 1,EBRFEN,ENDG,Embalse
CPD2,CAPDELLA 2,EBRFEN,ENDG,Embalse
CPD3,CAPDELLA 3,EBRFEN,ENDG,Embalse
CPD4,CAPDELLA 4,EBRFEN,ENDG,Embalse
CPELAOS,CPELAOS,EUEUZA,EGLE,Eólica terrestre
CPELEAS,CPELEAS,FPELEAS,NEXU,Solar fotovoltaica
CPGLASS,CPGLASS,TTOVAG,EGLE,Gas natural cogeneración
CPRROSO,CPRROSO,EECAP,CEG,Eólica terrestre
CPUNTA,CPUNTA,EHIBGES,IBGES,Eólica terrestre
CRCEC01,CRCEC01,CRCEC01,CRCES,Consumos directos en mercado
CREEC01,CREAE,CREEC01,CREAE,Comercializadores mercado libre
CREOC01,CRECE PEN,CREOC01,CRESO,Comercializadores mercado libre
CREPSOL,CREPSOL,TREPP,REPP,Gas natural cogeneración
CREVOL,CREVOL,EHIBGES,IBGES,Eólica terrestre
CRGYC01,CARTO C,CRGYC01,CARGY,Comercializadores mercado libre
CRIIX,CRIIX,UPSON1,GNRA,Solar fotovoltaica
CRMON1,CRMON1,FCRMON1,NEXU,Solar fotovoltaica
CRMON2,CRMON2,FCRMON2,NEXU,Solar fotovoltaica
CRMON3,CRMON3,FCRMON3,NEXU,Solar fotovoltaica
CRMONA1,CRMONA1,FCMONA1,NEXU,Solar fotovoltaica
CROA1,CR1,EACROA1,NEXU,Eólica terrestre
CROA2,CR2,EACROA2,NEXU,Eólica terrestre
CRONSLR,CRNSL,FCRONOS,GESTE,Solar fotovoltaica
CRRASCA,CRRASCA,FCRASCA,NEXU,Solar fotovoltaica
CRT1,CORTIJO 1,EBRA,IBEG,Fluyente
CRT2,CORTIJO 2,EBRA,IBEG,Fluyente
CRT3,CORTIJO 3,EBRA,IBEG,Fluyente
CRTA,CRTA,FCERRAT,REPSB,Solar fotovoltaica
CRTM,CRTM,FCERRAT,REPSB,Solar fotovoltaica
CRTOBAL,CRTOBAL,FCRTBAL,NEXU,Solar fotovoltaica
CRUAN,CRUAN,FVGNRA,GNRA,Solar fotovoltaica
CRUAS,CRUAS,FVGNRA,GNRA,Solar fotovoltaica
CRUZ,CRUZ,FCRUZ,CEG,Solar fotovoltaica
CRUZ1,CRUZ1,EHIBGES,IBGES,Eólica terrestre
CRUZ2,CRUZ2,EHIBGES,IBGES,Eólica terrestre
CRUZCAR,CRUZCAR,EHIBGES,IBGES,Eólica terrestre
CRVERA,CRVERA,FCORVRA,NEXU,Solar fotovoltaica
CSABLCA,CSBNA,FBLANCA,GESTE,Solar fotovoltaica
CSCFIN,CSCFIN,FVGNRA,GNRA,Solar fotovoltaica
CSD1,CASEDA 1,BEREBRO,BARER,Fluyente
CSD2,CASEDA 2,BEREBRO,BARER,Fluyente
CSFMUDE,CSF MUDEJA,MUDEJAR,WMARK,Solar fotovoltaica
CSID,CERROSID,EFWMARK,WMARK,Eólica terrestre
CSL1,CSTELLAR 1,UPSJUCA,SJUCA,Fluyente
CSL2,CSTELLAR 2,UPSJUCA,SJUCA,Fluyente
CSMONTE,CSMONTE,HFWMARK,WMARK,Fluyente
CSONDAA,CSONDAA,FSONDAA,NEXU,Solar fotovoltaica
CTALINA,CTALINA,FCTLINA,NEXU,Solar fotovoltaica
CTDAL,CANTADAL,EPI,REPSB,Eólica terrestre
CTDFW,CTDFW,UPSON3,GNRA,Solar fotovoltaica
CTEVB,CTEVB,UPCTE,GNRA,Solar fotovoltaica
CTFRIO,CTFRIO,EREGPE1,ECYR,Eólica terrestre
CTGN1,CARTAGENA1,CTGN1,GNCC,Ciclo combinado
CTGN2,CARTAGENA2,CTGN2,GNCC,Ciclo combinado
CTGN3,CARTAGENA3,CTGN3,GNCC,Ciclo combinado
CTJ1,CASTREJ 1,UFTA,GNFG,Embalse
CTJ2,CASTREJ 2,UFTA,GNFG,Embalse
CTJ3,CASTREJ 3,UFTA,GNFG,Embalse
CTJ4,CASTREJ 4,UFTA,GNFG,Embalse
CTJGS,CTJGS,UPCARTU,GNRA,Solar fotovoltaica
CTJON1,CASTEJON 1,CTJON1,NATGA,Ciclo combinado
CTJON1X,CCAA CTJ1,CTJON1X,NATGA,Consumo de Servicios Auxiliares
CTJON2,CASTEJON 2,CTJON2,IBGT,Ciclo combinado
CTJON3,CTJON3,CTJON3,NATGA,Ciclo combinado
CTL1,CASTRELO 1,UFMI,GNFG,Embalse
CTL2,CASTRELO 2,UFMI,GNFG,Embalse
CTN3TG1,CTN3TG1,CTN3,IBGT,Ciclo combinado
CTN3TG2,CTN3TG2,CTN3,IBGT,Ciclo combinado
CTN3TV,CTN3TV,CTN3,IBGT,Vapor
CTN4TG1,CTN4TG1,CTN4,IBGT,Ciclo combinado
CTN4TG2,CTN4TG2,CTN4,IBGT,Ciclo combinado
CTN4TV,CTN4TV,CTN4,IBGT,Vapor
CTNUTG1,CTNUTG1,CTNU,CTNU,Ciclo combinado
CTNUTG2,CTNUTG2,CTNU,CTNU,Ciclo combinado
CTNUTV,CTNUTV,CTNU,CTNU,Vapor
CTNUX,CTNUX,CTNUX,CTNU,Consumo de Servicios Auxiliares
CTO1,COMPUERT 1,DUER,IBEG,Embalse
CTO2,COMPUERT 2,DUER,IBEG,Embalse
CTR1,CORNATEL 1,SBEU,ENDG,Embalse
CTR2,CORNATEL 2,SBEU,ENDG,Embalse
CTUDELA,CTUDELA,TTUDELA,GNRA,Gas natural cogeneración
CTUNIII,CTUNIII,HAPHIG,EGLE,Hidráulica - No UGH
CTUNOII,CTUNOII,HAPHIG,EGLE,Hidráulica - No UGH
CUADRO,CUADRO,EGREEN1,EGED,Eólica terrestre
CUARTI,CUARTILLEJ,FCUARTI,CEG,Solar fotovoltaica
CUBI,CUBI,FCUBI,CEG,Solar fotovoltaica
CUBILLO,CUBILLOS,RCUBILL,NEXU,Biomasa
CUBLA,CUBLA,FCUBLA,NEXU,Solar fotovoltaica
CUBON,CUBON,UPBON4,GNRA,Solar fotovoltaica
CUCAYO,CUCAYO,HPDRSA,EGLE,Fluyente
CUDS1,CUDS1,FVGNRA,GNRA,Solar fotovoltaica
CUDS2,CUDS2,FVGNRA,GNRA,Solar fotovoltaica
CUE1,C.POZO 1,ASIDUE,ASIE,Fluyente
CUE2,C.POZO 2,ASIDUE,ASIE,Fluyente
CUERDA,CUERDA,EHIBGES,IBGES,Eólica terrestre
CUESTA,CUESTA,HCGSCSA,HC G,Eólica terrestre
CUETC,CUETC,UPCUE,GNRA,Solar fotovoltaica
CUEZA,CUEZA,EHIBGES,IBGES,Eólica terrestre
CULIX,CULIX,FVGNRA,GNRA,Solar fotovoltaica
CUNCC01,CUNTIENSE,CUNCC01,CUNC,Comercializadores mercado libre
CUNEMSA,CUNEMSA,TUEMADE,WMARK,Derivados del petróleo o carbón
CUPAC01,CUPA,CUPAC01,CUPA,Consumos directos en mercado
CUPBC01,CUPA BT,CUPBC01,CUPA,Consumos directos en mercado
CURISCA,CURISCA,HCGSCSA,HC G,Eólica terrestre
CURRAS,CURRAS,ECURRAG,EGED,Eólica terrestre
CUTOLE,CUTOLE,TCUTOLE,CEG,Gas natural cogeneración
CUVEC01,CUVEC01,CUVEC01,CUVER,Comercializadores mercado libre
CVALDES,VALDES,FCVALDE,HISPE,Solar fotovoltaica
CVICEN,CVICEN,EHIBGES,IBGES,Eólica terrestre
CVICENA,CVICENA,EHIBGES,IBGES,Eólica terrestre
CVIRC01,COMPRAVIRT,CVIRC01,INTRA,Comercializadores mercado libre
CWCMC01,PEN_UP_COM,CWCMC01,FUTGR,Comercializadores mercado libre
CX46AC,CX46AC,FORTR01,FORTI,Comercializadores mercado libre
CX46AL,CX46AL,FORTR01,FORTI,Comercializadores mercado libre
CX46CA,CX46CA,FORTR01,FORTI,Comercializadores mercado libre
CX46MO,CX46MO,FORTR01,FORTI,Comercializadores mercado libre
CYDAC01,CYADE,CYDAC01,CYDAE,Comercializadores mercado libre
CYEC01,CYEC01,CYEC01,CYE,Comercializadores mercado libre
CYIGNI,TYGNRA,CYIGNI,IGNIS,Gas natural cogeneración
CZFVC01,CZFV,CZFVC01,CZFV,Consumos directos en mercado
DA1O,DAO1,HFNEXU,NEXU,Fluyente
DAIMC01,DAIMUZ1,DAIMC01,DAIMU,Comercializadores mercado libre
DAJOZ,DAJOZ,FDAJOZ,CEG,Solar fotovoltaica
DAL1,D.ALDONZ 1,GDLQ,ENDG,Fluyente
DAL2,D.ALDONZ 2,GDLQ,ENDG,Fluyente
DALOBA,DALOBA,EGREEN,EGED,Eólica terrestre
DANSC01,OPERATIONS,DANSC01,DANSK,Comercializadores mercado libre
DAPHNE,DAPHNE,FAZARA,NEXU,Solar fotovoltaica
DARAQ,DARAQ,UPDAR,GNRA,Solar fotovoltaica
DARUC01,DARUC01,DARUC01,DARUZ,Consumos directos en mercado
DASERPE,DASERPE,EGASNE1,GNCO,Eólica terrestre
DAVAX,DAVAX,FAUDAX,ADXRE,Solar fotovoltaica
DEDEREC,DEDEREC,TDEDRE,EGLE,Derivados del petróleo o carbón
DEELC01,DEELC01,DEELC01,DEELU,Comercializadores mercado libre
DEFERII,DEFERII,ECATER,EGLE,Eólica terrestre
DEFIBE,DEFIBE,ENDER01,ENDCO,Comercializadores mercado libre
DEGOLLA,DEGOLLA,EHIBGES,IBGES,Eólica terrestre
DEGREEN,DEGREEN,FSTATON,NEXU,Solar fotovoltaica
DEHESA,DEHESA,UPDEHE,IGNIS,Solar térmica
DEHESAM,DEHESAM,EEGPES,ECYR,Eólica terrestre
DEHESI1,DEHESILLA1,DEHE1,RENSP,Eólica terrestre
DEHESI2,DEHESILLA2,DEHE2,RENSP,Eólica terrestre
DEHESIL,DEHESILLA,FDHSLA,NEXU,Solar fotovoltaica
DEL108,DEL108,FDEL108,SOLRC,Solar fotovoltaica
DELIFA,DELIFA,SESAR01,SHELL,Comercializadores mercado libre
DELILLO,DELILLO,UPESTN,GNRA,Eólica terrestre
DELMAI,DELMAI,FDELMAI,SOLRC,Solar fotovoltaica
DELMORO,DELMORO,HCGSCSA,HC G,Eólica terrestre
DELTAA,DELTAA,FDAGAC,GAC,Solar fotovoltaica
DELTAB,DELTAB,FDBGAC,GAC,Solar fotovoltaica
DELTAC,DELTAC,FDCGAC,GAC,Solar fotovoltaica
DELTAD,DELTAD,FDDGAC,GAC,Solar fotovoltaica
DEMETE1,DEMETE1,FVDEMET,WMARK,Solar fotovoltaica
DEMFW,DEMFW,UPDEMF,GNRA,Solar fotovoltaica
DEPOC01,DEPOC01,DEPOC01,DEPOA,Consumos directos en mercado
DERETIL,DERETIL,EGEDR01,EGED,Comercializadores mercado libre
DERMONT,DERMONT,TDERMO,EGLE,Derivados del petróleo o carbón
DESAFIO,DESAF PV,RESOLAR,RENSP,Solar fotovoltaica
DESAV,LAS DEHESA,DEESA,LMER,Biogás
DESIRTO,DESERTO,FDSERTO,GESTE,Solar fotovoltaica
DESMC01,DESMAC01,DESMC01,DESMA,Comercializadores mercado libre
DETCD01,DETCD01,DETCD01,DETIC,Consumos directos en mercado
DETCD02,DETCD02,DETCD02,DETIC,Consumos directos en mercado
DETCD16,DETCD16,DETCD16,DETIC,Consumos directos en mercado
DETIC01,DETIC01,DETIC01,DETIC,Comercializadores mercado libre
DETISA1,COG DETISA,TFSEDAE,SEDAE,Gas natural cogeneración
DETSSAA,DETSSAA,DETSSAA,DETIC,Consumo de Servicios Auxiliares
DEVA,DEVA,EDEVAG,EGED,Eólica terrestre
DEVESA,DEVESA,HCOHIG,EGLE,Fluyente
DEVIRGI,DEVIRGI,EGREEN1,EGED,Eólica terrestre
DFERC01,DFERC01,DFERC01,DUFEA,Comercializadores mercado libre
DHEYG,DHEYG,UPDOH,GNRA,Solar fotovoltaica
DIBAQ1,DIBAQ,AE10COG,COGEN,Gas natural cogeneración
DIELC01,DIEL_PEN,DIELC01,DIELE,Comercializadores mercado libre
DIL1,DILAR 1,GDLQ,ENDG,Fluyente
DIL2,DILAR 2,GDLQ,ENDG,Fluyente
DILUC01,DILUZ,DILUC01,DILUZ,Comercializadores mercado libre
DIO153,DIO153,FDIO153,SOLRC,Solar fotovoltaica
DIPBC01,DIPBC01,DIPBC01,DIPBA,Consumos directos en mercado
DIRGC01,DIRECTGREE,DIRGC01,DIREA,Comercializadores mercado libre
DISCEF,DISCEF,ENDER01,ENDCO,Comercializadores mercado libre
DIVIC01,DIVIC01,DIVIC01,DIVIC,Comercializadores mercado libre
DIVSO,DIVSO,FVGNRA,GNRA,Solar fotovoltaica
DJIMENA,DJIMENA,HHTTRIN,INTRA,Fluyente
DJUNCAL,DUERJUNCAL,FJUNCAL,GESTE,Solar fotovoltaica
DLSTC01,GOENERGIA,DLSTC01,DLSTE,Comercializadores mercado libre
DOI1,DOIRAS 1,VIES,REPSB,Embalse
DOI2,DOIRAS 2,VIES,REPSB,Embalse
DOI3,DOIRAS 3,VIES,REPSB,Embalse
DOLAUNO,DOLAUNO,EHIBGES,IBGES,Eólica terrestre
DOLTRES,DOLTRES,EHIBGES,IBGES,Eólica terrestre
DOLVC01,DOLVC01,DOLVC01,DOLNO,Consumos directos en mercado
DOMENO,DOMENO,HFIBGES,IBGES,Embalse
DOMIX,DOMIX,UPSON3,GNRA,Solar fotovoltaica
DONBC01,DONBECO,DONBC01,DONBE,Comercializadores mercado libre
DONSL,DONSL,FVGNRA,GNRA,Solar fotovoltaica
DOSA,DOSA,HDOSA,GNRA,Fluyente
DOSPUEB,DOSPUEB,EHIBGES,IBGES,Eólica terrestre
DOVILAN,DOVILAN,EEGPEM,ECYR,Eólica terrestre
DOWCHEM,DOWCHEM,TDEEXXI,EEXXI,Derivados del petróleo o carbón
DOY,DOY,A2GAME2,AME,Energía residual
DRACOSL,DRACO,FDRACOS,GESTE,Solar fotovoltaica
DREAC01,DREUA,DREAC01,DREUA,Comercializadores mercado libre
DREDC01,DREDC01,DREDC01,DREUA,Consumos directos en mercado
DREGC01,DREGC01,DREGC01,DREUA,Consumos directos en mercado
DREHC01,DREHC01,DREHC01,DREUA,Consumos directos en mercado
DRKFC01,UP DRK,DRKFC01,DRK,Comercializadores mercado libre
DROSP,DROSP,UPDROS,GNRA,Solar fotovoltaica
DSBON,DSBON,UPBON2,GNRA,Solar fotovoltaica
DSMAC01,3DSMART,DSMAC01,DSMAR,Comercializadores mercado libre
DSSIX,DSSIX,UPSON4,GNRA,Solar fotovoltaica
DTABLAR,DTABLAR,ETBLRES,NEXU,Eólica terrestre
DUENA,DUENA,EHIBGES,IBGES,Eólica terrestre
DUERC01,DUEROLUZ,DUERC01,DUERO,Comercializadores mercado libre
DUEROCA,DUEROCA,HDUEROK,CEG,Fluyente
DUFEC01,DUFEC01,DUFEC01,DUFER,Comercializadores mercado libre
DUFECP3,DUFENERGY,DUFECP3,DUFER,Importación Francia
DUFEVP3,DUFEVP3,DUFEVP3,DUFER,Exportación Francia
DULCNE5,DULCNE5,FDULC5,NEXU,Solar fotovoltaica
DULCNE6,DULCNE6,FDULC6,NEXU,Solar fotovoltaica
DUQ1,DUQUE,GDLQ,ENDG,Fluyente
DUR1,DURCAL 1,GDLQ,ENDG,Fluyente
DUR2,DURCAL 2,GDLQ,ENDG,Fluyente
DXDC01,DXD COMER,DXDC01,DXD,Comercializadores mercado libre
