codigo_de_up,descripcion_corta,descripcion_larga,codigo_eic,tipo_de_produccion,negocio,ambito_de_actuacion,zona_de_regulacion,tipo_de_up,sujeto_del_mercado,potencia_maxima_mw
AFIBGEV,AFIBGEV,ALMACENAMIENTO VENTA,18W000000000NL2Y,Almacenamiento,Venta,España,IBEG ,Unidades de almacenamiento,IBGES,"6,8"
AFIBHEC,AFIBHEC,HIBRIDACION EOLICA BATERIA COMPRA,18W000000000Q0TV,Almacenamiento,Compra,España,IBEG ,Unidades de almacenamiento,IBGES,"5,5"
AFIBHFC,AFIBHFC,AFIBHFC,18W000000000Q0SX,Almacenamiento,Compra,España,IBEG ,Unidades de almacenamiento,IBGES,"5,0"
AFIOLHC,AFIOLHC,COMPRA BATERIA OLMEDILLA,18W000000000U9L4,Almacenamiento,Compra,España,SZR,Unidades de almacenamiento,IBGES,"25,0"
AFIREHC,AFIREHC,REVILLA BATERIA UP COMPRA,18W000000000U8K9,Almacenamiento,Compra,España,IBEG ,Unidades de almacenamiento,IBGES,"25,0"
AFIROHC,AFIROHC,UP COMPRA BATERIA ROMERAL,18W000000000TIFU,Almacenamiento,Compra,España,SZR,Unidades de almacenamiento,IBGES,"25,0"
AGENC01,AGENC01,"AGUAS DE BARBASTRO ENERGÍA, S.L",18WAGENC01-123-O,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,ABESL,"9,0"
AGMAC01,AGMARQUES,AGUAS DE MARQUESADO,18WAGMAC01-123-T,Consumos directos en mercado,Compra,España,SZR,Consum. directos a mercado,AGMA,"0,5"
AGRIC01,AGRIENERG,AGRI ENERGIA S.A.,18WAGRIC01-12-2B,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,AGREN,"0,0"
AGUAV,AGUASVIVAS,UP SF AGUASVIVAS,18W000000000RUAC,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"41,3"
AGUB,AGUAYO B,C.H.B. AGUAYO BOMBEO,18WAGUB-12345-0T,Consumo bombeo,Compra,España,REPSOL ,Consumo bombeo,REPSB,"360,0"
AGUG,AGUAYO G,C.H. AGUAYO GENERACION,18WAGUG-12345-0G,Turbinación bombeo,Venta,España,REPSOL ,Generación,REPSB,"360,4"
