Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Dia,28-06-2026,28-06-2026.1,28-06-2026.2,28-06-2026.3,28-06-2026.4,28-06-2026.5,28-06-2026.6,28-06-2026.7,28-06-2026.8,28-06-2026.9,28-06-2026.10,28-06-2026.11,28-06-2026.12,28-06-2026.13,28-06-2026.14,28-06-2026.15,28-06-2026.16,28-06-2026.17,28-06-2026.18,28-06-2026.19,28-06-2026.20,28-06-2026.21,28-06-2026.22,28-06-2026.23,28-06-2026.24,28-06-2026.25,28-06-2026.26,28-06-2026.27,28-06-2026.28,28-06-2026.29,28-06-2026.30,28-06-2026.31,28-06-2026.32,28-06-2026.33,28-06-2026.34,28-06-2026.35,28-06-2026.36,28-06-2026.37,28-06-2026.38,28-06-2026.39,28-06-2026.40,28-06-2026.41,28-06-2026.42,28-06-2026.43,28-06-2026.44,28-06-2026.45,28-06-2026.46,28-06-2026.47,28-06-2026.48,28-06-2026.49,28-06-2026.50,28-06-2026.51,28-06-2026.52,28-06-2026.53,28-06-2026.54,28-06-2026.55,28-06-2026.56,28-06-2026.57,28-06-2026.58,28-06-2026.59,28-06-2026.60,28-06-2026.61,28-06-2026.62,28-06-2026.63,28-06-2026.64,28-06-2026.65,28-06-2026.66,28-06-2026.67,28-06-2026.68,28-06-2026.69,28-06-2026.70,28-06-2026.71,28-06-2026.72,28-06-2026.73,28-06-2026.74,28-06-2026.75,28-06-2026.76,28-06-2026.77,28-06-2026.78,28-06-2026.79,28-06-2026.80,28-06-2026.81,28-06-2026.82,28-06-2026.83,28-06-2026.84,28-06-2026.85,28-06-2026.86,28-06-2026.87,28-06-2026.88,28-06-2026.89,28-06-2026.90,28-06-2026.91,28-06-2026.92,28-06-2026.93,28-06-2026.94,28-06-2026.95
,,,,Cuarto de Hora del dia,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
Sentido,Unidad de Programación,Bloque,Tipo Oferta,Indicadores,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh,€/MWh
Venta,A2GAME2,Blq. 1,10,,"9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99","9999,99"
Venta,ACE3,Blq. 1,1,,"399,27","399,27","399,27","399,27","157,75","157,75","157,75","157,75","157,75","157,75","157,75","157,75","157,75","157,75","157,75","183,38","183,38","183,38","183,38","183,38","183,38","183,38","183,38","183,38","185,76","185,76","185,76","185,76","185,76","185,76","185,76","185,76","185,76","185,76","185,76","185,76","185,76","185,76","185,76","185,76","185,76","185,76","185,76","185,76","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","196,75","188,75","188,75","188,75","188,75","188,75","188,75","188,75","188,75","188,75","188,75","188,75","188,75","188,75","188,75","188,75","188,75","188,75","188,75","188,75","188,75","188,75","188,75","188,75","188,75"
Venta,ACE3,Blq. 2,1,,,,,,"399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71"
Venta,ACE4,Blq. 1,1,,"184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80","184,80"
Venta,AE11COG,Blq. 1,10,,"826,76","825,01","820,00","816,86","826,07","823,07","823,01","817,16","822,79","820,62","818,82","816,50","816,18","815,59","815,98","815,00","814,60","814,57","815,00","814,77","815,54","815,09","815,00","814,86","816,00","815,00","814,57","814,57","814,60","812,36","804,86","785,90",,,,,,,,,,,,,,,,,,,,,,,,,"700,00","700,00","700,00","700,00","700,00","700,00","700,00","700,00","700,00","700,00","700,00","700,00","700,01","700,30","700,66","700,84","701,20","703,08","708,86","725,01","727,01","749,77","769,15","772,20","779,99","810,00","816,50","826,07","822,47","825,17","827,57","827,57","832,39","832,01","841,99","830,00","830,47","827,21","826,74","820,00"
Venta,AFALZ4C,Blq. 1,17,,"399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71"
Venta,AFALZ5C,Blq. 1,17,,"399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71"
Venta,AFIANHC,Blq. 1,17,,"399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","399,27","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71","404,71"
