omie_page,omie_y,up_code,up_name_omie,legal_entity,ownership_pct,unit_type_omie,zone_omie,technology_omie,ownership_pct_numeric
1,141.133,AEEXXIC,COMPRA ALMACENAMIENTO EEXXI,"ENERGÍA XXI COMERCIALIZADORA DE REFERENCIA, S.L.",100,ALMACENAMIENTO,ZONA ESPAÑOLA,Consumo de Almacenamiento,100.0
1,148.453,AEONURC,REGSITI COMPRA ALM,"REGSITI COMERCIALIZADORA REGULADA, S.L.U.",100,ALMACENAMIENTO,ZONA ESPAÑOLA,Consumo de Almacenamiento,100.0
1,155.773,AFALZ4C,UOF C BATERIA FVALZ,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,163.093,AFALZ5C,UOF C BATERIA FVALZII,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,170.413,AFIANHC,UOF C BATERIA ANDEVALO,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,177.733,AFIBGEC,ALMACENAMIENTO COMPRA,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,185.093,AFIBHEC,COMPRA HIBRIDACION EOLICA BAT,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,192.373,AFIBHFC,COMPRA HIBRIDACION FV BATERIA,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,199.693,AFIOLHC,UOF C BATERIA OLMEDILLA,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,207.093,AFIREHC,UOF C BATERIA REVILLA,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,214.333,AFIROHC,HIB ROMERAL OLMEDILLA,IBERDROLA ENERGÍA ESPAÑA S..A.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,221.653,AIBCURC,AIBCURC,"CURENERGÍA COMERCIALIZADOR DE ÚLTIMO RECURSO, SAU",100,ALMACENAMIENTO,ZONA ESPAÑOLA,Consumo de Almacenamiento,100.0
1,228.973,ASRIHCC,UNIDAD OFERTA BATERIA SOTO,"EDP ESPAÑA, S.A.U. (GENERACIÓN)",100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,236.293,EGEDBAT,COMPRA BATERIA,ACCIONA GREEN ENERGY DEVELOPMENTS,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,243.613,EGLARMC,UNIDADE CARREGAMENTO,"AXPO IBERIA, S.L.",100,ALMACENAMIENTO,ZONA PORTUGUESA,Almacenamiento Compra,100.0
1,250.933,FHERCON,HIB HERCULES CONSUMO,SOLARIA REPRESENTACION EN MERCADO S.L.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,258.253,IGNARMC,IGNIS COMPRA PT,IGNIS ENERGIA S.L.,100,ALMACENAMIENTO,ZONA PORTUGUESA,Almacenamiento Compra,100.0
1,265.573,SMBC02,COMPRA BATERIA BATALHA,SIMPLES ENERGIA DE ESPAÑA SL,100,ALMACENAMIENTO,ZONA PORTUGUESA,Almacenamiento Compra,100.0
1,272.893,UPACAC,UOF ACADIEMS COMPRA,IGNIS ENERGIA S.L.,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,280.213,UPXENC,UPXENC,GNERA ENERGIA Y TECNOLOGIA,100,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra,100.0
1,287.533,ACAVADB,BOMBAS DO CAVADO,EDP GEM PORTUGAL S.A.,100,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto,100.0
1,294.853,ADOUROB,BOMBA DO DOURO,EDP GEM PORTUGAL S.A.,100,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto,100.0
1,302.173,AGUB,C.H.B. AGUAYO BOMBEO,"REPSOL SERVICIOS RENOVABLES, S.A.",100,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo,100.0
1,309.493,ALIMAB,BOMBAS DO LIMA,EDP GEM PORTUGAL S.A.,100,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto,100.0
1,316.813,BRENAB,UNIDAD OFERTA BOMBEO BREÑA 2,IGNIS ENERGIA S.L.,100,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Puro,100.0
1,324.133,DOUSUPB,DOURO SUPERIOR BOMBAGEM,MOVHERA - HIDROELÉTRICAS DO NORTE SA,100,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto,100.0
1,331.453,DUEB,UGH.B. DUERO BOMBEO,IBERDROLA ENERGÍA ESPAÑA S..A.,100,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Mixto,100.0
1,338.773,ENDPRB,C.H.B.M. MONTAMARA BOMBEO,"ENDESA GENERACIÓN, S.A.",100,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo,100.0
1,346.093,GDLQB,GUADALQUIVIR BOMBEO,"ENDESA GENERACIÓN, S.A.",100,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo,100.0
1,353.413,GUADIAB,BACIA H. GUADIANA (BOMBAGEM),EDP GEM PORTUGAL S.A.,100,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto,100.0
1,360.733,GUIB,C.H.B. GUILLENA BOMBEO,"ENDESA GENERACIÓN, S.A.",100,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo,100.0
1,368.093,IPB,C.H.B.IP BOMBEO,"ENDESA GENERACIÓN, S.A.",100,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Puro,100.0
1,375.373,MLTB,C.H.B. MORALETS BOMBEO,"ENDESA GENERACIÓN, S.A.",100,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo,100.0
1,382.693,MONDEGB,BOMBEO DA AREA DE MONDEGO,EDP GEM PORTUGAL S.A.,100,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto,100.0
1,390.093,MUEB,C.H.B. LA MUELA BOMBEO,IBERDROLA ENERGÍA ESPAÑA S..A.,100,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo,100.0
1,397.333,SILB,UGH.B. SIL BOMBEO,IBERDROLA ENERGÍA ESPAÑA S..A.,100,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Mixto,100.0
1,404.653,SLTB,UGH.B. ESTANG. SALLENTE BOMB.,"ENDESA GENERACIÓN, S.A.",100,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo,100.0
1,411.973,TAJB,UGH.B. TAJO BOMBEO,IBERDROLA ENERGÍA ESPAÑA S..A.,100,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Mixto,100.0
1,419.293,TAMEGAB,TAMEGAB,IBERDROLA ENERGÍA ESPAÑA S..A.,100,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto,100.0
1,426.613,TANB,C.H.B. TANES BOMBEO,"EDP ESPAÑA, S.A.U. (GENERACIÓN)",100,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo,100.0
1,433.933,TJEB,C.H. B. TAJO ENCANTADA BOMBEO,"ENDESA GENERACIÓN, S.A.",100,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo,100.0
1,441.253,UFBB,C.H.B. BOLARQUE BOMBEO,GAS NATURAL COMERCIALIZADORA,100,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Puro,100.0
1,448.573,ABASC01,UOF COMPRA ABASTE,ABASTE COMERCIALIZADORA S.L.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
1,455.893,ABOUC01,ABOUT WHITE,"ABOUT WHITE, S.L.",100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
1,463.213,ACCGC02,UNIDAD DE COMPRA,"ACCIONA GREEN, SUCURSAL PT",100,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador,100.0
1,470.533,ACHEC01,ACHER COMPRA,"ELECTRICA DE CHERA, S.C.V.",100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
1,477.853,ACNHC01,COMPRA,ACENHOL ENERGIA SL,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
1,485.173,ACOSC01,UNIDAD DE OFERTA,ACOS T IBERICA SL,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
1,492.493,ACRSC02,COMERCIALIZAÇÃO,"ACROSSCAPACITY, LDA",100,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador,100.0
1,499.813,ACSOC01,ACSOL,"ACSOL ENERGIA GLOBAL, S.A.",100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
1,507.133,ACTIC01,UNIDAD PARA OFERTAS DE COMPRA,ACTIVA COMERCIALIZADORA DE ENERGIA S.L.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
1,514.453,ADEIC01,ADEINNOVA ENERGIA,ADEINNOVA ENERGIA,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
1,521.773,ADELC01,ADELFAS COMPRAS,ADELFAS ENERGIA SL,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
1,529.093,ADREC02,AUDAX COMPRA PORTUGAL,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador,100.0
1,536.413,ADURC01,ADURIZ ENERGÍA COMPRA (ESP),ADURIZ ENERGÍA SLU,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
1,543.733,ADXC01,ADX RENOVABLES,ADX RENOVABLES SL,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
1,551.093,ADXRM01,REPRE COMER 1,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
1,558.373,ADXRM02,REPRE COMER 2,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
2,141.133,ADXRM03,REPRE COMER 3,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
2,148.453,ADXRM04,ADS RPRE COMER 4,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
2,155.773,ADXRM06,REPRE COMER 6,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
2,163.093,ADXRM07,REPRE COMER 07,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
2,170.413,ADXRM08,REPRE COMER 8,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
2,177.733,ADXRM09,REPRE COMER 9,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
2,185.093,ADXRM10,ECO2,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
2,192.373,ADXRM11,FEED ENERGÍA,AUDAX RENOVABLES S.A.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
2,199.693,AEQC01,COMERCIALIZACIÓN AEQ,"AEQ W2M, S.A.",100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,207.093,AGENC01,ABESL COMPRA,"AB ENERGÍA 1903, S.L.U.",100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,214.333,AGLC02,UNIDADE DE COMPRA,AGORALUZ ENERGIA LDA,100,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador,100.0
2,221.653,AGRIC01,AGRI ENERGIA COMPRA (ESP),AGRI-ENERGÍA,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,228.973,AHORC01,AHORA PENINSULA,AHORA LUZ ENERGÍA SL,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,236.293,AHTC01,COMPRA COMER,"COMERCIALIZADORA ELECTRICA DE TENERIFE, S.L.",100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,243.613,AIREC01,AIREC01,AIRE LIMPIO S.L.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
2,250.933,AJENC01,UNIDAD OFERTANTE A2J ENERGÍA,"A2J ENERGÍA, S.L.",100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,258.253,ALAHC01,U.O ALAHURIN,HIDROCARBUROS ALHAURÍN SL,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,265.573,ALBCC01,ALBCO_COMPRAS_UP,COMERCIALIZADORA ELECTRICA DE ALBATARREC SLU,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,272.893,ALDDC01,18W000000000OLLT,"ACCIONA COMERCIALIZADORA B2C, S.L. UNIPERSONAL",100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
2,280.213,ALDRC01,COMERCIALIZADORA ALDRO ENERGIA,"ENI PLENITUDE IBERIA, S.L.U.",100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,287.533,ALDRC02,COMERCIALIZADORA ELECTRICA PT,"ENI PLENITUDE IBERIA, S.L.U.-SUCURSAL EM PORTUGAL",100,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador,100.0
2,294.853,ALFAC02,ALFA ENERGIA,"ALFA ENERGIA, LDA",100,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador,100.0
2,302.173,ALGICA1,ALGICA1,"SUMINISTROS ESPECIALES ALGINETENSES, S.C.V.",100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,309.493,ALIOC01,COMPRA COMERCIALIZADORA,ALIO ENERGIA S.L.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,316.813,ALPXC01,"ALPEX IBERICA DE ENERGIA,S.L","ALPEX IBERICA DE ENERGIA,S.L",100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,324.133,ALUEC01,ALUZ PENINSULAR,ALUZ ENERGÍA ELÉCTRICA SL,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
2,331.453,ALUZC01,ALUZC01,AHORRELUZ SERVICIOS ONLINE SL,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,338.773,AMAZC01,AMAZON COMPRA,COMERCIALIZADORA DE ENERGIAS RENOVABLES Y DE SERVICIOS,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,352.213,AMEC01,AG. MERCADO ELÉCTRICO COM(ESP),FACTOR ENERGIA ESPAÑA SAU,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,359.533,AMELC01,UNIDAD DE COMERCIALICION,ARCELORMITTAL ENERGY S.C.A,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,366.853,AMIC01,COMPRA COMERCIALIZADORA AMI,AMI ELECTRUM S.L.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,374.173,ANGLC01,"ANGLER ENERGIA, S.L.","ENERGYASSET COMERCIALIZADORA DE ENERGIA, S.L.",100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,381.493,ANTEC01,ANTEA ENERGÍA COMERCIALIZADORA,ANTEA ENERGÍA COMERCIALIZADORA SL,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,388.813,ARACC01,ARACÁN ENERGÍA,ARACÁN ENERGÍA S.L.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización,100.0
2,396.133,AREPC02,AUDAX RENOV. SUC. EM PORTUGAL,AUDAX RENOVABLES S.A.-SUCURSAL EM PORTUGAL,100,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador,100.0
2,403.453,ASEGC01,ASEGE01,ASEGE GESTION SL,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,410.773,ASIEC01,COMERCIALIZ,ASISTENCIA ENERGÉTICA S.L.,100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
2,418.093,ASSEC01,18X000000000P5GW,"ASSENN ENERGY, S.L.",100,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador,100.0
