subject_code,legal_entity
SOREX,RENEWABLE ENERGY OPTIMISATION
RCONS,RENOVAE CONSULTING
RENUE,"RENU ENERGY, S.L."
VIEE,REPCOM EYG
RECON,REPRESENTANTES DE CONSUMIDORES EN EL MERCADO ELECTRICO
VIEG,REPSOL GENERACIÓN ELECTRICA
REPP,REPSOL PETROLEO SA
REPQ,"REPSOL QUIMICA, S.A."
REPSB,REPSOL SERVICIOS RENOVABLES SA
RSPRA,RESPIRA ENERGIA
RSPRE,RESPIRA ESPAÑA
REUSS,"REUS SERVEIS MUNICIPALS, SA"
REYSE,REYSE ENERGIA SL
ROFEN,"ROFEICA ENERGIA, S.A."
OESTE,RONDA OESTE ENERGIA
ROTOR,ROTOR PRINT S.L
SAHKO,SAHKOA SMART ENERGY SL
SJUCA,SALTOS DEL JUCAR HIDRAULICA
SAMAR,"SAMARA ENERGIA VPP, S.L."
SAMP,SAMPOL INGENIERIA Y OBRAS
CHPED,SAN PEDRO DE ARAIA
SAPIE,SAPIENS ENERGIA COOPS
SASKI,SASKI BASKONIA SAD
SAIMP,SAT N9888 IMPERIO
SATSP,SATSP
PRADO,SCL MTRA SRA DEL PRADO
SEIYA,"SEIYA ENERGIA, S.L."
SENEO,"SENEO, COOP.V."
SEDAE,SERV. ENER. DE ALTA EFICIENCIA
SIRUS,SERVEI D INCINERACIÓ DELS RESI
SEXTS,SERVICIO EXTREMEÑO DE SALUD
SERVC,SERVICIOS ENERGÉTICOS AVANZADOS SL
SERV,SERVIENERGIA ELECTRICA SL
SYENE,SHAREYOURENERGY
SHEEN,SHELL ENERGY
SHELL,"SHELL ESPAÑA, S.A."
SHIRY,"SHIRYU ENERGIA, S.L."
SIGNO,"SIGNO ENERGY, S.L."
HSCOM,SILLEDA COMERCIALIZADORA
SIMPE,SIMPLES ENERGIA DE ESPAÑA SL
SIMP,SIMPLIA ENERGIA S.L
SMARC,SMARTESTENERGY LIMITED
SMARB,SMARTLUZ ENERGY
SMURF,"SMURFIT KAPPA NERVION, S.A."
SNIA,SNIACE S.A.
VIRTM,SOCIEDAD ARAGONESA
COTIR,SOCIETAT MUNICIPAL DE COMERCIA
SOCIN,SOCIÉTÉ EUROPÉENNE DE GESTION DE L'ENERGIE S.A.
SOLRC,SOLARIA REPRESENTACIÓN EN MERCADO S.L.
SBYCO,"SOLBY DESARROLLOS EMPRESARIALES, S.L"
SOLFL,SOLFLIX SOLAR S.L.
SLCZN,"SOLUZIONA TU ENERGIA, S.L."
SOLWE,SOLWE ENERGÍA
SOMEN,SOM ENERGIA COOPERATIVA
SOLUZ,SONESTA LUZ
SONNI,"SONNEDIX ESPAÑA COMERCIALIZADORA, S.L."
SPINR,SPINREACT SAU
SPOCK,"SPOCK P2P, S.L."
SSEEN,SSE ENERGY SUPPLY LIMITED
SMG,STATKRAFT MARKETS GMBH
STIN,STIN SA
SPBB,SUAVIZANTES Y PLASTIFICANTES BITUMINOSOS
SUCAS,SUCA SOCIEDAD COOPERATIVA
RELUZ,SUJETO DE MERCADO RELUZCA
ENERP,SUJETO ENERPLUS
SULA,SULAYR
SUMIA,"SUMINISTROS PROPIOS ENERGIA, SLU"
SUNPS,SUN POWER SPAIN 365
SUNAI,SUNAIR ONE ENERGY
SUNHO,SUNAIR ONE HOME
SUNFL,SUNFLIX RENOVABLES S.L.
SAFE,"SUSTAINING AIR FOR EVERYONE, S.R.L."
SWAPE,SWAP ENERGIA
TALEN,TALARN ENERGIA ELECTRICA
TAPOW,TARRAGONA POWER S.L
TATAN,TATANKA ENERGÍA S.L.
TAUTR,TAUTRA ENERGIA
TLCOR,TELECOR REPRESENTANTE CONSUMIDORES DIRECTOS
TSOL,TELEFÓNICA SOLUCIONES
TENDE,TENSINA DE ENERGIA Y SERVICIOS
TEXTB,TEXTIL PUIG UBACH SA
VALOR,TEXTIL VALOR
TGBSA,TGB SA
THELE,TH ELECTRICITY GAS SL
THER,THERMOLYMPIC S.L
TOMMY,"TOMMY ENERGY, S.L."
TORME,TORMESH SOLUTIONS SL
TORNA,TORNADIZOS ENERGY SL
TORTE,"TORTOSA ENERGIA, S. A."
TOTGA,TOTAL GAS
TGYE,TOTAL GAS Y ELECTRICIDAD ESPAA SAU
NATGA,TOTALENERGIES CLIENTES S.A.U.
TERSA,TRACTAMENT I SELECCIO DE RESID
TSRDE,TRAILSTONE RENEWABLES GMBH
TRICL,TRICLINIUM INVERSIONES SL
TRISO,TRISOLARIS AG
TUELE,TU ELECTRICA S.L.
CONTA,TUNERGIA
TEVI,TVITEC SYSTEM GLASS
UBORA,"UBORA ENERGIA SOCIAL, S.L."
ULSOL,ULTREYA SOLUCIONES SL
UNEL,UNIELECTRICA
URANB,"URANOSCOPIDAE ENERGIA VI, S.L."
URANA,URANOSCOPIDAE V ENERGIA S.L.
URANC,"URANOSCOPIDAE VII ENERGIA, S.L."
URBEN,URBENER
URUSE,URUS ENERGY SORIA SLNE
UTTEM,UTTEM-TRM
VALEA,VALERO FORN TRADICIONAL SL
VARAE,"VARAENER, S.L."
VECTO,VECTOR ENERGÍA S.L.
VELTA,VELETA ENERGIA SL
VIMCO,VIMCOMEL SL
VINAO,VIÑAOLIVA SOCIEDDAD COOPERATIVA
VIRGI,VIRGIN ELECTRIC COMERCIALIZADORA
VISAL,VISALIA ENERGIA SLU
SNIVI,VISCOCEL S.L.U
VITEC,VITA ENERGY CONSULTING SL
VITOL,VITOL SA
VIVA,VIVA ENERGIA Y SOLUCIONES SL
VIVO,VIVO ENERGIA FUTURA
WARTS,WARTSILA IBÉRICA S.A.
WEKIW,WEKIWI SL
WMARK,WIND TO MARKET
ENERG,XENERA COMPAÑÍA ELÉCTRICA S.A.
YELLO,YELLOW ENERGY
ZELTR,ZELTRIA ENERGIA
ZENON,"ZENON ENERGIA, S.L."
ZERE,ZEREP CARBONICAS Y AGUAS
ZRMTT,"ZERMATT POWER, SL"
ZETAE,ZETA ENERXIA GALEGA S.L.
ZOVE,"ZONA ENERGÍA VERDE, S.L."
ZUGPW,"ZUG POWER, SL"
ZULU,ZULUX ENERGIA
