up_code,up_name,subject_code,technology_esios
A2GAME2,A2GAME2,AME,Energía residual
ABA1,ABA1,BARER,Hidráulica UGH
ABA2,ABA2,BARER,Hidráulica UGH
ABASC01,UPC ABAST,ABAST,Comercializadores mercado libre
ABO1,ABOÑO 1,ABOGE,Hulla antracita
ABO2G,ABO2G,ABOGE,Gas Natural
ABOUC01,ABOUTWHI,ABOUT,Comercializadores mercado libre
ABOX,ABOX,ABOGE,Consumo de Servicios Auxiliares
ACAPC01,ACAPERSA,ACAPE,Consumos directos en mercado
ACBFRAE,ACBFRA EXP,REE,Unidad instrumental internacional
ACBFRAI,ACBFRA IMP,REE,Unidad instrumental internacional
ACBPORE,ACBPOR EXP,REE,Unidad instrumental internacional
ACBPORI,ACBPOR IMP,REE,Unidad instrumental internacional
ACE3,ACECA 3 IB,IBGT,Ciclo Combinado
ACE4,ACECA 4 UF,GNCC,Ciclo Combinado
ACENC01,ACENORCA,ACENO,Consumos directos en mercado
ACHEC01,CHERA,ACHER,Comercializadores mercado libre
ACNHC01,ACNHC01,ACENH,Comercializadores mercado libre
ACOSC01,ACOSC01,ACOST,Comercializadores mercado libre
ACSOC01,ACSOL,ACSOL,Comercializadores mercado libre
ACTIC01,ACTIC01UN1,ACTIV,Comercializadores mercado libre
ADEIC01,ADEINNOVA,ADEIN,Comercializadores mercado libre
ADEIV01,ADEIV01,ADEIN,Solar fotovoltaica
ADELC01,ADELFAS,ADELF,Comercializadores mercado libre
ADSEC01,ADSEC01,ADSSM,Comercializadores mercado libre
ADSNC01,ADS,ADSEN,Comercializadores mercado libre
ADURC01,ADURIZ E,ADUR,Comercializadores mercado libre
ADXC01,ADXC01,ADXRA,Comercializadores mercado libre
AE10COG,AE10COG,COGEN,Gas Natural Cogeneración
AE11COG,AE11COG,COGEN,Gas Natural Cogeneración
AE12COG,AE12COG,COGEN,Gas Natural Cogeneración
AEIDGEN,AEROGENERA,WMARK,Eólica terrestre
AENEC01,AVAENERC,AENER,Comercializadores mercado libre
AEQC01,AEQ,AEQ,Comercializadores mercado libre
AFALZ4C,AFALZ4C,IBGES,Almacenamiento
AFALZ5C,AFALZ5C,IBGES,Almacenamiento
AFIANHC,AFIANHC,IBGES,Almacenamiento
AFIBGEC,AFIBGEC,IBGES,Almacenamiento
AFIBGEV,AFIBGEV,IBGES,Almacenamiento
AFIBHEC,AFIBHEC,IBGES,Almacenamiento
AFIBHFC,AFIBHFC,IBGES,Almacenamiento
AFIOLHC,AFIOLHC,IBGES,Almacenamiento
AFIREHC,AFIREHC,IBGES,Almacenamiento
AFIROHC,AFIROHC,IBGES,Almacenamiento
AGENC01,AGENC01,ABESL,Comercializadores mercado libre
AGMAC01,AGMARQUES,AGMA,Consumos directos en mercado
AGRIC01,AGRIENERG,AGREN,Comercializadores mercado libre
AGUAV,AGUASVIVAS,IGNIS,Solar fotovoltaica
AGUB,AGUAYO B,REPSB,Consumo bombeo
AGUG,AGUAYO G,REPSB,Turbinación bombeo
AHORC01,AHORA PEN,ALENE,Comercializadores mercado libre
AHTC01,AHTC01,COMED,Comercializadores mercado libre
AIREC01,AIREL,AIREL,Comercializadores mercado libre
AIREV01,AIREV01,AIREL,Solar fotovoltaica
AIZEC01,UP AIZEN,AIZEE,Comercializadores mercado libre
AJENC01,AJENC01,AJENE,Comercializadores mercado libre
ALAHC01,UP_HALAHUR,ALAHU,Comercializadores mercado libre
ALARCOS,ALARCOS,ADXRE,Solar fotovoltaica
ALBATER,UP ALBATER,TRISO,Solar fotovoltaica
ALBCC01,ALBCOUP,ALBCO,Comercializadores mercado libre
ALBOLOT,UP_ALBOLOT,LIDER,Solar fotovoltaica
ALCAC01,ALCANZIA,ALCAN,Comercializadores mercado libre
ALCAZA2,ALCAZARES2,ELEIA,Solar fotovoltaica
ALDDC01,ALDDC01,ALDEC,Comercializadores mercado libre
ALDEC01,ALDEC01,ALDEF,Comercializadores mercado libre
ALDEHU,ALDEHU,HISPE,Eólica terrestre
ALDRC01,ALDRO ENER,ALDRO,Comercializadores mercado libre
ALDRV01,ALDRV01,ALDRO,Solar fotovoltaica
ALG3,ALG3,REPSB,Ciclo Combinado
ALGICA1,ALGICA1,COALG,Comercializadores mercado libre
ALHAM,ALHAM,GNRA,Solar fotovoltaica
ALIOC01,ALIOC01,ALIOE,Comercializadores mercado libre
ALMAC01,ALUM MAEST,ALMAE,Consumos directos en mercado
ALPXC01,ALPXC01,ALPEX,Comercializadores mercado libre
ALQSC01,ALQSC01,ALSEG,Comercializadores mercado libre
ALSEC01,ALSEC01,ALSEC,Comercializadores mercado libre
ALUEC01,ALUZPENIN,ALUZE,Comercializadores mercado libre
ALUZC01,AHORRELUZ,ALUZ,Comercializadores mercado libre
ALZ1,ALMARAZ 1,IGNU,Nuclear
ALZ2,ALMARAZ 2,IGNU,Nuclear
AMAZC01,AMAZON C,COMEF,Comercializadores mercado libre
