up_code,up_name,subject_code,technology_esios
AMBIETA,AMBIETA,BIZE,Ciclo Combinado
AMBIETX,AMBIETX,BIZE,Consumo de Servicios Auxiliares
AMEC01,AMEC01,AME,Comercializadores mercado libre
AMELC01,-,AMELU,Comercializadores mercado libre
AMIC01,AMI,FORZA,Comercializadores mercado libre
AMPEACI,AMP HEDRO,WMARK,Eólica terrestre
AMPEC01,AMPER,AMPER,Comercializadores mercado libre
AMPRC01,AMPERE,AMPEA,Comercializadores mercado libre
ANGLC01,ANGLER,ANGLB,Comercializadores mercado libre
ANIMC01,ANIMC01,ANIMA,Comercializadores mercado libre
ANTEC01,ANTEA,ANTEA,Comercializadores mercado libre
APOANDE,APOAND EXP,REE,Unidad instrumental internacional
APOANDI,APOAND IMP,REE,Unidad instrumental internacional
APOFRAE,APOFRA EXP,REE,Unidad instrumental internacional
APOFRAI,APOFRA IMP,REE,Unidad instrumental internacional
APOLC01,APOLB,APOLB,Comercializadores mercado libre
APOMARE,APOMAR EXP,REE,Unidad instrumental internacional
APOMARI,APOMAR IMP,REE,Unidad instrumental internacional
APOPORE,APOPOR EXP,REE,Unidad instrumental internacional
APOPORI,APOPOR IMP,REE,Unidad instrumental internacional
APRC01,APRESTOS,APRES,Consumos directos en mercado
APRIC01,APRIM,APRIM,Comercializadores mercado libre
ARACC01,ARACA1,ARACA,Comercializadores mercado libre
ARAIC01,ARAIA,CHPED,Comercializadores mercado libre
ARASC01,ARASOL,ARAS,Consumos directos en mercado
ARCH,ARCH,BARER,Hidráulica UGH
ARCOS1,ARCOS1,IBGT,Ciclo Combinado
ARCOS2,ARCOS2,IBGT,Ciclo Combinado
ARCOS3,ARCOS3,IBGT,Ciclo Combinado
ARGC01,ARGI,ARGIM,Consumos directos en mercado
ARRU1,ARRUBAL1,ARRUB,Ciclo Combinado
ARRU1X,ARRU1X,ARRUB,Consumo de Servicios Auxiliares
ARRU2,ARRUBAL2,ARRUB,Ciclo Combinado
ARRU2X,ARRU2X,ARRUB,Consumo de Servicios Auxiliares
ASC1,ASCO 1,ENDG,Nuclear
ASC2,ASCO 2,ENDG,Nuclear
ASEGC01,UP1,ASEGE,Comercializadores mercado libre
ASIAGU,ASIAGU,ASIE,Hidráulica UGH
ASIDUE,ASIDUERO,ASIE,Hidráulica UGH
ASIEBR2,ASIEBRO2,ASIE,Hidráulica UGH
ASIEBRO,ASIEBRO,ASIE,Hidráulica UGH
ASIEC01,COMPRA ENE,ASIE,Comercializadores mercado libre
ASIJUCA,ASIJUCA,ASIE,Hidráulica UGH
ASITAJ,ASITAJ,ASIE,Hidráulica UGH
ASRIHCC,ASRIHCC,HC G,Almacenamiento
ASRIHCV,ASRIHCV,HC G,Almacenamiento
ASSEC01,ASSEC01,ASSEN,Comercializadores mercado libre
ASTC01,ASTC01,AST,Consumos directos en mercado
ASTCP3,ASTCP3,AST,Exportación Francia
ASTEC01,ASTEC01,ASTEN,Comercializadores mercado libre
ASTRC01,ASTRA,ASTRA,Comercializadores mercado libre
ASTVP3,ASTVP3,AST,Importación Francia
ATEEC01,PENINSULA,ATENC,Comercializadores mercado libre
ATLSC01,ATLAS COMP,ATLAS,Comercializadores mercado libre
ATLSR01,ATLSR01,ATLAS,Comercializadores mercado libre
ATOMCEC,ATOMCEC,DETIC,Gas Natural Cogeneración
ATOMICO,ATOMICO,DETIC,Gas Natural Cogeneración
ATPC01,ATPC01,ATPEN,Comercializadores mercado libre
ATRIC01,ATRIAUP01,ATRES,Comercializadores mercado libre
AUDAC01,AUDAC01,ADXRE,Comercializadores mercado libre
AUNGNR,AUNGNR,GNRA,Gas Natural Cogeneración
AVANC01,AVANC01,AVAN,Comercializadores mercado libre
AVILC01,AVIL_ALUMB,AVIL,Consumos directos en mercado
AXEOC01,AXEO,AXEOE,Comercializadores mercado libre
AXPOR01,AXPOR01,EGLE,Comercializadores mercado libre
AYLUC01,AYLUZ,AYLUZ,Comercializadores mercado libre
AYPGNR,AYPGNR,GNRA,Derivados del petróleo ó carbón
AZULIB,AZULIB,EGLE,Gas Natural Cogeneración
BACAC01,BACAICOA,BACA,Consumos directos en mercado
BAHIAB,BAHIAB,BBEL,Ciclo Combinado
BAHIABX,BAHIABX,BBEL,Consumo de Servicios Auxiliares
BAKC01,BASKONIA,BASKO,Consumos directos en mercado
BALEC01,BALEC01,ELECB,Comercializadores mercado libre
BALFRAE,BALFRA EXP,REE,Unidad instrumental internacional
BALFRAI,BALFRA IMP,REE,Unidad instrumental internacional
BALKC01,BALKC01,BALEI,Consumos directos en mercado
BALPORE,BALPOR EXP,REE,Unidad instrumental internacional
BALPORI,BALPOR IMP,REE,Unidad instrumental internacional
BANARES,BAÑARES,LMER,Solar fotovoltaica
BATTOS,BATTOS FV,ELEIA,Solar fotovoltaica
BAYWA1,ALHENDIN 1,IGNIS,Solar fotovoltaica
BAYWA3,FV ALHEND3,IGNIS,Solar fotovoltaica
BECOC01,BECO,BECO,Comercializadores mercado libre
BECVH01,BECVHI01,BECO,Hidráulica no UGH
BECVH02,BECVH02,BECO,Hidráulica no UGH
BECVS01,BECVS01,BECO,Solar fotovoltaica
BEJAR,P DE BEJAR,NETRA,Solar fotovoltaica
BELIN1,BELINCH1,IGNIS,Solar fotovoltaica
BENOC01,BEROIL UP,BENOI,Comercializadores mercado libre
BERC01,BERNA,MELUL,Consumos directos en mercado
BEREBRO,BEREBRO,BARER,Hidráulica UGH
BERJUCA,BERJUCA,BARER,Hidráulica UGH
BERLC01,BERLC01 CO,LUZYG,Comercializadores mercado libre
BERR1,BERR1,HIDRJ,Hidráulica UGH
BERR2,BERR2,HIDRJ,Hidráulica UGH
BES3,BESOS 3,ENDG,Ciclo Combinado
BES4,BESOS 4,GNCC,Ciclo Combinado
BES5,BESOS 5,ENDG,Ciclo Combinado
BESC01,BESC01,BESPI,Comercializadores mercado libre
BESTC01,BESTC01,BESTO,Comercializadores mercado libre
BEYOC01,BEYOC01,BEYON,Comercializadores mercado libre
BIOC01,BIODIESEL,BIODI,Consumos directos en mercado
BIOFEN,BIOGAS,FEN,Biogás
BIROC01,BIROUGAS,BIROU,Comercializadores mercado libre
BIRSPRA,BIRSPRA,RSPRA,Biogás
BLAGAR,BLAGARES,IGNIS,Biogás
BLANC,BLANC,GNRA,Solar fotovoltaica
BNPRC01,BNPRC01,BNPRU,Comercializadores mercado libre
BNPRV01,BONPREU V,BNPRU,Solar fotovoltaica
BOAEC01,UP BOAEN,BOAEN,Comercializadores mercado libre
BOLI,BOLI,BARER,Hidráulica UGH
BPC01,BPGAS_COM,BP,Comercializadores mercado libre
BPSRR01,BPSRR01,BNPRU,Comercializadores mercado libre
BREFEN,EOL3MW,FEN,Eólica terrestre
BREIC01,UP IBERICA,IBERB,Comercializadores mercado libre
BRENB,UP BREÑA B,IGNIS,Consumo bombeo
BRJV01,BRJV01,TRISO,Solar fotovoltaica
BRR1,BARRIOS,VIEPR,Hulla sub-bituminosa
BRR1X,AUX BRR1,VIEPR,Consumo de Servicios Auxiliares
BRUC,PSBRUC,IGNIS,Solar fotovoltaica
BSGEC01,BSGEA,BSGEA,Comercializadores mercado libre
BSOUP01,BSOUPTAL01,BECO,Solar fotovoltaica
BTN,BTN,VIEG,Hidráulica UGH
BTRR1,BTRR1,GNRA,Solar fotovoltaica
BTRR2,BTRR2,GNRA,Solar fotovoltaica
BTRR3,BTRR3,GNRA,Solar fotovoltaica
BYDETIC,BYDETIC,DETIC,Biogás
BYENC01,BYENC01,BYENE,Comercializadores mercado libre
CACIC01,CACIC01,CACI,Comercializadores mercado libre
CADLC01,UC CANDELA,CANDL,Comercializadores mercado libre
CALEC01,CALEN,CALEA,Consumos directos en mercado
CAMCC01,CAMPO_UP,CAMCO,Comercializadores mercado libre
CAMG20X,CAMG20X,DETIC,Consumo de Servicios Auxiliares
CAMGI10,CAMPGIB1,GNCC,Ciclo Combinado
CAMGI20,CAMPGIB2,SEDAE,Ciclo Combinado
CANTI44,CANTI44,ADXRE,Solar fotovoltaica
CANXC01,CANALIZACI,MOLEC,Consumos directos en mercado
CAPLC01,CAPALOESP,CAPAL,Comercializadores mercado libre
CAPTC01,CAPTURC01,CAPTA,Comercializadores mercado libre
CARRA,CARRA,NETRA,Solar fotovoltaica
CASAC01,CASAT,CASAT,Consumos directos en mercado
CASAI,CASAF I,ELEIA,Solar fotovoltaica
CASAII,CASAF II,ELEIA,Solar fotovoltaica
CASAIII,CASA III,ELEIA,Solar fotovoltaica
CASAIV,CASA IV,ELEIA,Solar fotovoltaica
CASAIX,CASAF IX,ELEIA,Solar fotovoltaica
CASAV,CASA V,ELEIA,Solar fotovoltaica
CASAVI,CASAF VI,ELEIA,Solar fotovoltaica
CASAVII,CASAF VII,ELEIA,Solar fotovoltaica
CASMON,CASMON,GNRA,Solar fotovoltaica
CATGC01,CATGAS,CATGA,Comercializadores mercado libre
CATRAL1,CATRAL1UP,TRISO,Solar fotovoltaica
CATRAL2,CATRAL 2,TRISO,Solar fotovoltaica
CATRC01,CATRC01,CATRA,Comercializadores mercado libre
CCASC01,CCASC01,COMER,Comercializadores mercado libre
CCATC01,CCATC01,CCATR,Comercializadores mercado libre
CD02R01,CD02R01,DETIC,Consumos directos en mercado
CD03R01,CD03R01,DETIC,Consumos directos en mercado
CD04R01,CD04R01,DETIC,Consumos directos en mercado
CD05R01,CD05R01,DETIC,Consumos directos en mercado
CD06R01,CD06R01,DETIC,Consumos directos en mercado
CEBAC01,CEBA,CEA,Comercializadores mercado libre
CEBIC01,CEBIC01,CEBIN,Comercializadores mercado libre
CECAC01,CASTELLAR,CECA,Comercializadores mercado libre
CEDC01,CEDSL,CEDSL,Comercializadores mercado libre
CEEEC01,CEEEC01,CEEE,Comercializadores mercado libre
CELC01,CELC01,CELL,Consumos directos en mercado
CELSC01,CELSC01,CELSA,Consumos directos en mercado
CELSC02,CFERIMSA,CELSA,Consumos directos en mercado
CEMEC01,CEMENTO PE,CEMEK,Comercializadores mercado libre
CENG01,CENG01,CENTS,Solar fotovoltaica
CENTC01,CENT CO,CENTE,Comercializadores mercado libre
CENTCP3,CENTCP3,CENTE,Exportación Francia
CENTVP3,CENTVP3,CENTE,Importación Francia
CERLC01,CERLER,CERLE,Consumos directos en mercado
CERVUP,CERVANTINA,ZRMTT,Solar fotovoltaica
CESOC01,CESOC01,CESOS,Comercializadores mercado libre
CETAC01,CETAL,CETAL,Comercializadores mercado libre
CGGRABI,CGGRABI,GNRA,Gas Natural Cogeneración
CGLAM,CGLAM,GNRA,Derivados del petróleo ó carbón
CHAC01,CHAC01,CHARG,Comercializadores mercado libre
CHANC01,CHANDUY,CHAND,Comercializadores mercado libre
CHBAO,BARROSA,GNRA,Hidráulica UGH
CHCC01,CHCC01,CHC,Comercializadores mercado libre
CHCOC01,CHCOC01,CHCOR,Comercializadores mercado libre
CHENC01,CHURCH,CHURC,Comercializadores mercado libre
CHERC01,SOT CHERA,CHERA,Comercializadores mercado libre
CHIPB,CHIPB,ENDG,Consumo bombeo
CHIPG,CHIPG,ENDG,Turbinación bombeo
CHISC01,CHISTA_COM,COMCH,Comercializadores mercado libre
CHURC,URDICETO 2,GNRA,Hidráulica UGH
CHURC01,CHURC01,CHURR,Consumos directos en mercado
CHURD,URDICETO,GNRA,Hidráulica UGH
CHVADOM,CHVADO,STIN,Hidráulica no UGH
CHVN,CHVN,WMARK,Hidráulica UGH
CID1,CID1,ELEIA,Solar fotovoltaica
CID2,CID2,ELEIA,Solar fotovoltaica
CID3,CID3,ELEIA,Solar fotovoltaica
CID4,CID4,ELEIA,Solar fotovoltaica
CILCOR,CILCOR,REPP,Derivados del petróleo ó carbón
CIMAC01,CIMA,CIMA,Comercializadores mercado libre
CINCOVI,CINCOVILLA,ELEIA,Biomasa
CINEC01,CINEC01,CINET,Comercializadores mercado libre
CJON3X,CCAA CTJ3,NATGA,Consumo de Servicios Auxiliares
CLEAC01,CLEARVIEW,CLEAR,Comercializadores mercado libre
CLIDC01,CLIDOMUP01,CLIDM,Comercializadores mercado libre
CLIFV10,FV T10,CLIDM,Solar fotovoltaica
CLIFV21,CLIFV21,ELEIA,Solar fotovoltaica
CLIFV30,CLIFV30,CLIDM,Solar fotovoltaica
CLIFV31,CLIFV31,CLIDM,Solar fotovoltaica
CLIFV32,CLIFV32,CLIDM,Solar fotovoltaica
CLIFV35,CLIFV35,CLIDM,Solar fotovoltaica
CLIFV45,CLIFV45,CLIDM,Solar fotovoltaica
CLIFV53,CLIFV53,CLIDM,Solar fotovoltaica
CLIFV54,CLIFV54,CLIDM,Solar fotovoltaica
CLIFV55,CLIFV55,CLIDM,Solar fotovoltaica
CLIFV58,CLIFV58,CLIDM,Solar fotovoltaica
CLIPCX1,CLIPCX1,CLIDM,Porfolio
CLIPVX1,CLIPVX1,CLIDM,Porfolio
CLIWI11,EOL 1014,TOTGA,Eólica terrestre
CMILLAS,CMILLAS,LMER,Gas Natural Cogeneración
CNTLC01,CNTLC01,CENTS,Comercializadores mercado libre
COALC01,COALC01,COALG,Comercializadores mercado libre
CODOC01,CODOC01,CODOR,Comercializadores mercado libre
COELC01,GUADASSAUR,COELD,Comercializadores mercado libre
COF1,COFRENTES,IGNU,Nuclear
COG75RQ,COG75RQ,REPSB,Gas Natural Cogeneración
COGAIAD,COGAIAD,DETIC,Gas Natural Cogeneración
COGAJ,COGAJ,GNRA,Gas Natural Cogeneración
COGAJ5,COGAJ5,GNRA,Derivados del petróleo ó carbón
COGAMYL,COGAMYL,DETIC,Gas Natural Cogeneración
COGATOM,COGATOM,DETIC,Gas Natural Cogeneración
COGAYME,COGAYME,DETIC,Gas Natural Cogeneración
COGAZEB,COGAZEB,DETIC,Gas Natural Cogeneración
COGBARR,COGBARR,DETIC,Gas Natural Cogeneración
COGBECO,COGBECO,DETIC,Gas Natural Cogeneración
COGBERN,COGBERN,DETIC,Gas Natural Cogeneración
COGBOOR,COGBOOR,DETIC,Gas Natural Cogeneración
COGBORG,COGBORG,DETIC,Gas Natural Cogeneración
COGBORJ,COGBORJ,DETIC,Gas Natural Cogeneración
COGBRIK,COGBRIK,DETIC,Gas Natural Cogeneración
COGCDAM,COGCDAM,DETIC,Gas Natural Cogeneración
COGCHOV,COGCHOV,DETIC,Gas Natural Cogeneración
COGCIPR,COGCIPR,DETIC,Derivados del petróleo ó carbón
COGCLIM,COGCLIM,DETIC,Gas Natural Cogeneración
COGCORE,COGCORE,DETIC,Gas Natural Cogeneración
COGDAMM,COGDAMM,DETIC,Biomasa
COGDERC,COGDERC,DETIC,Gas Natural Cogeneración
COGEC01,COGEC01,COGEN,Comercializadores mercado libre
COGESPU,COGESPU,DETIC,Gas Natural Cogeneración
COGESTA,COGESTA,DETIC,Gas Natural Cogeneración
COGFOMP,COGFOMP,DETIC,Gas Natural Cogeneración
COGFORE,COGFORE,DETIC,Gas Natural Cogeneración
COGFRIM,COGFRIM,DETIC,Gas Natural Cogeneración
COGFUST,COGFUST,DETIC,Gas Natural Cogeneración
COGGAIK,COGGAIK,DETIC,Biomasa
COGGESB,COGGESB,DETIC,Gas Natural Cogeneración
COGHIJO,COGHIJO,DETIC,Gas Natural Cogeneración
COGINC2,COGINC2,DETIC,Gas Natural Cogeneración
COGINCU,COGINCU,DETIC,Gas Natural Cogeneración
COGINPE,COGINPE,DETIC,Gas Natural Cogeneración
COGJUMS,COGJUMS,DETIC,Gas Natural Cogeneración
COGLINA,COGLINA,DETIC,Gas Natural Cogeneración
COGLOSR,COGLOSR,DETIC,Gas Natural Cogeneración
COGMARQ,COGMARQ,DETIC,Gas Natural Cogeneración
COGMENG,COGMENG,DETIC,Gas Natural Cogeneración
COGMIGA,COGMIGA,DETIC,Gas Natural Cogeneración
COGMIMS,COGMIMS,DETIC,Gas Natural Cogeneración
COGMOLT,COGMOLT,DETIC,Gas Natural Cogeneración
COGMORA,COGMORA,DETIC,Gas Natural Cogeneración
COGNOVA,COGNOVA,DETIC,Gas Natural Cogeneración
COGNULE,COGNULE,DETIC,Gas Natural Cogeneración
COGOBLA,COGOBLA,DETIC,Gas Natural Cogeneración
COGORUJ,COGORUJ,DETIC,Gas Natural Cogeneración
COGPACH,COGPACH,DETIC,Gas Natural Cogeneración
COGPOR1,COGPOR1,DETIC,Gas Natural Cogeneración
COGPOR2,COGPOR2,DETIC,Gas Natural Cogeneración
COGRENS,COGRENS,DETIC,Gas Natural Cogeneración
COGSEFR,COGSEFR,DETIC,Gas Natural Cogeneración
COGSMON,COGSMON,DETIC,Gas Natural Cogeneración
COGSORI,COGSORI,DETIC,Gas Natural Cogeneración
COGTABL,COGTABL,DETIC,Gas Natural Cogeneración
COGTAN2,COGTAN2,DETIC,Gas Natural Cogeneración
COGTANG,COGTANG,DETIC,Gas Natural Cogeneración
COGTECN,COGTECN,DETIC,Derivados del petróleo ó carbón
COGTROV,COGTROV,DETIC,Gas Natural Cogeneración
COGUCHE,COGUCHE,DETIC,Gas Natural Cogeneración
COGUNIO,COGUNIO,DETIC,Gas Natural Cogeneración
COGUREN,COGUREN,DETIC,Gas Natural Cogeneración
COGUTZ2,COGUTZ2,DETIC,Gas Natural Cogeneración
COGUTZU,COGUTZU,DETIC,Gas Natural Cogeneración
COGVECO,COGVECO,DETIC,Biomasa
COL4,COLON 4,ENDG,Ciclo Combinado
COMGC01,COMGC01,COMEG,Comercializadores mercado libre
COMPC01,COMPC01,COMPA,Comercializadores mercado libre
COMTC01,COMTC01,COMEE,Comercializadores mercado libre
CONEC01,COMPRA,CONEC,Comercializadores mercado libre
CONEFV0,C2FV,CONEC,Solar fotovoltaica
CONTC01,CONTALLUM,CONTA,Comercializadores mercado libre
COPIC01,URANO V,URANA,Comercializadores mercado libre
CORPC01,CORPOLUX,CORPO,Comercializadores mercado libre
CR2FEN,FOT 50MW,FEN,Solar fotovoltaica
CR3FEN,FOT 50MW,FEN,Solar fotovoltaica
CR4FEN,FOT50,FEN,Solar fotovoltaica
CRCEC01,CRCES,CRCES,Consumos directos en mercado
CREEC01,CREAE,CREAE,Comercializadores mercado libre
CREOC01,CRECE PEN,CRESO,Comercializadores mercado libre
CRGYC01,CARTO C,CARGY,Comercializadores mercado libre
CRISOL,CRISOL FV,ELEIA,Solar fotovoltaica
CTGN1,ESC CART 1,GNCC,Ciclo Combinado
CTGN2,ESC CART 2,GNCC,Ciclo Combinado
CTGN3,ESC CART 3,GNCC,Ciclo Combinado
CTJON1,CASTEJO1 H,NATGA,Ciclo Combinado
CTJON1X,CCAA CTJ1,NATGA,Consumo de Servicios Auxiliares
CTJON2,CASTEJO2 I,IBGT,Ciclo Combinado
CTJON3,CASTEJO3 H,NATGA,Ciclo Combinado
CTN3,CASTELLO 3,IBGT,Ciclo Combinado
CTN4,CASTELLO 4,IBGT,Ciclo Combinado
CTNU,CASTELNOU,CTNU,Ciclo Combinado
CTNUX,CTNUX,CTNU,Consumo de Servicios Auxiliares
CUNCC01,CUNTIENSE,CUNC,Comercializadores mercado libre
CUPAC01,CUPA,CUPA,Consumos directos en mercado
CUPBC01,CUPA BT,CUPA,Consumos directos en mercado
CUVEC01,CUVEC01,CUVER,Comercializadores mercado libre
CVIRC01,COMPRAVIRT,INTRA,Comercializadores mercado libre
CWCMC01,PEN_UP_COM,FUTGR,Comercializadores mercado libre
CYDAC01,CYADE,CYDAE,Comercializadores mercado libre
CYEC01,CYEC01,CYE,Comercializadores mercado libre
CYIGNI,GENE COGEN,IGNIS,Gas Natural Cogeneración
CZFVC01,CZFV,CZFV,Consumos directos en mercado
DAIMC01,DAIMUZ1,DAIMU,Comercializadores mercado libre
DANNZN,DANNZN,HISPE,Eólica terrestre
DANSC01,OPERATIONS,DANSK,Comercializadores mercado libre
DANSZN,DANSZN,HISPE,Eólica terrestre
DARUC01,DARUZ,DARUZ,Consumos directos en mercado
DEELC01,DEELC01,DEELU,Comercializadores mercado libre
DEESA,LAS DEHESA,LMER,Biogás
DEHE1,DEHESILLA1,RENSP,Eólica terrestre
DEHE2,DEHESILLA2,RENSP,Eólica terrestre
DEPOC01,DEPOR,DEPOA,Consumos directos en mercado
DESMC01,DESMAC01,DESMA,Comercializadores mercado libre
DETCD01,DETCD01,DETIC,Consumos directos en mercado
DETCD02,DETCD02,DETIC,Consumos directos en mercado
DETCD16,DETCD16,DETIC,Consumos directos en mercado
DETIC01,DETIC CO,DETIC,Comercializadores mercado libre
DETIR01,DETIR01,DETIC,Comercializadores mercado libre
DETSSAA,DETSSAA,DETIC,Consumo de Servicios Auxiliares
DFERC01,DFERC01,DUFEA,Comercializadores mercado libre
DIELC01,DIEL_PEN,DIELE,Comercializadores mercado libre
DILUC01,DILUZ,DILUZ,Comercializadores mercado libre
DIPBC01,DIPU BDJZ,DIPBA,Consumos directos en mercado
DIRGC01,DIRECTGREE,DIREA,Comercializadores mercado libre
DIVIC01,DIVIC01,DIVIC,Comercializadores mercado libre
DLSTC01,GOENERGIA,DLSTE,Comercializadores mercado libre
DOLAR,DOLAR,LIDER,Solar fotovoltaica
DOLVC01,DOL,DOLNO,Consumos directos en mercado
DONBC01,DONBECO,DONBE,Comercializadores mercado libre
DPDETIC,DPDETIC,DETIC,Derivados del petróleo ó carbón
DREAC01,DREUA,DREUA,Comercializadores mercado libre
DREDC01,DREDC01,DREUA,Consumos directos en mercado
DREGC01,DREGC01,DREUA,Consumos directos en mercado
DREHC01,DREHC01,DREUA,Consumos directos en mercado
DRKFC01,UP DRK,DRK,Comercializadores mercado libre
DSMAC01,3DSMART,DSMAR,Comercializadores mercado libre
DUEB,DUERO B,IBEG,Consumo bombeo
DUER,DUERO G,IBEG,Hidráulica UGH
DUERC01,DUEROLUZ,DUERO,Comercializadores mercado libre
DUFEC01,DUFEC01,DUFER,Comercializadores mercado libre
DUFECP3,DUFENERGY,DUFER,Exportación Francia
DUFEVP3,DUFEVP3,DUFER,Importación Francia
DXDC01,DXD COMER,DXD,Comercializadores mercado libre
DYNFC01,DYNEFF,DYNEF,Comercializadores mercado libre
E1CEG,E1CEG,CEG,Eólica terrestre
E1VENTU,E1VENTU,CEG,Eólica terrestre
EABARA,EABARA,EGED,Eólica terrestre
EABILI,EABILI,CEG,Eólica terrestre
EACCIT,EACCIT,EGLE,Eólica terrestre
EACIBER,EACIBER,WMARK,Eólica terrestre
EACROA1,EACROA1,NEXU,Eólica terrestre
EACROA2,EACROA2,NEXU,Eólica terrestre
EADRAG,EADRAG,EGED,Eólica terrestre
EAGON2,EAGON2,CEG,Eólica terrestre
EALBC01,EALBC01,EALB,Comercializadores mercado libre
EALENTI,PE ALENTIS,EBLCO,Eólica terrestre
EALIJA2,EALIJA2,SEDAE,Eólica terrestre
EALMC01,ALMENAR_UP,ELALM,Comercializadores mercado libre
EALMERI,EALMERI,NEXU,Eólica terrestre
EALP10,EALP10,HISPE,Eólica terrestre
EALP11,EALP11,HISPE,Eólica terrestre
